Gene,albidoflavus_J1074_R2,Sign
group_1909,MBMJMBDD_01053,+
group_191,MBMJMBDD_04724,+
group_1910,MBMJMBDD_01059,-
group_1911,MBMJMBDD_01060,+
iucC_1,MBMJMBDD_01066,-
iucB,MBMJMBDD_01067,-
iucA,MBMJMBDD_01068,-
dat_1,MBMJMBDD_01069,-
group_1916,MBMJMBDD_01071,+
group_1917,MBMJMBDD_01073,-
dapF,MBMJMBDD_01075,-
miaA,MBMJMBDD_01077,-
group_1920,MBMJMBDD_01078,+
group_1921,MBMJMBDD_01079,-
group_1922,MBMJMBDD_01080,-
group_1923,MBMJMBDD_01082,+
sasA_2,MBMJMBDD_01083,-
glnH_2,MBMJMBDD_01086,+
group_1926,MBMJMBDD_01088,+
group_1927,MBMJMBDD_01090,+
recX,MBMJMBDD_01092,-
group_1929,MBMJMBDD_01094,-
group_193,MBMJMBDD_04813,+
hdfR_2,MBMJMBDD_01095,+
group_1931,MBMJMBDD_01096,+
dhmA,MBMJMBDD_01104,-
group_1933,MBMJMBDD_01105,+
nei,MBMJMBDD_01108,+
group_1935,MBMJMBDD_01109,-
cinA,MBMJMBDD_01112,-
group_1937,MBMJMBDD_01116,-
arnB,MBMJMBDD_01121,-
thyX,MBMJMBDD_01127,-
group_1940,MBMJMBDD_01128,+
ribF,MBMJMBDD_01143,-
rimP,MBMJMBDD_01151,-
group_1943,MBMJMBDD_01153,+
group_1944,MBMJMBDD_01154,+
group_1945,MBMJMBDD_01156,-
sgrR_1,MBMJMBDD_01161,-
group_1947,MBMJMBDD_01162,-
nanK_3,MBMJMBDD_01167,-
group_1949,MBMJMBDD_01169,-
group_195,MBMJMBDD_04845,+
group_1950,MBMJMBDD_01170,-
group_1951,MBMJMBDD_01172,+
group_1952,MBMJMBDD_01174,-
potA_1,MBMJMBDD_01178,-
group_1954,MBMJMBDD_01181,+
spuE,MBMJMBDD_01185,-
ytrE_2,MBMJMBDD_01190,+
group_1957,MBMJMBDD_01191,+
group_1958,MBMJMBDD_01192,+
group_1959,MBMJMBDD_01193,-
potA_2,MBMJMBDD_01194,-
thiB,MBMJMBDD_01196,-
group_1963,MBMJMBDD_01204,-
dprA,MBMJMBDD_01206,-
group_1965,MBMJMBDD_01211,-
group_1966,MBMJMBDD_01212,-
lepB,MBMJMBDD_01214,-
rimM,MBMJMBDD_01217,-
smc,MBMJMBDD_01231,-
TDO2_2,MBMJMBDD_05984,-
group_1970,MBMJMBDD_01234,+
group_1971,MBMJMBDD_01239,-
group_1972,MBMJMBDD_01248,+
group_1973,MBMJMBDD_01251,-
fbiD_1,MBMJMBDD_01252,+
group_1975,MBMJMBDD_01253,+
group_1976,MBMJMBDD_01259,-
group_1977,MBMJMBDD_01260,+
gph_2,MBMJMBDD_01266,-
gltX,MBMJMBDD_01267,-
group_1980,MBMJMBDD_01270,-
group_1981,MBMJMBDD_01271,+
group_1982,MBMJMBDD_01272,+
group_1983,MBMJMBDD_01277,+
group_1984,MBMJMBDD_01282,+
group_1985,MBMJMBDD_01283,+
group_1986,MBMJMBDD_01291,-
group_1987,MBMJMBDD_01296,+
cyc2,MBMJMBDD_01299,+
group_1989,MBMJMBDD_01300,-
ureA_1,MBMJMBDD_01305,-
group_1992,MBMJMBDD_01308,-
group_1993,MBMJMBDD_01309,+
group_1994,MBMJMBDD_01310,+
group_1995,MBMJMBDD_01311,+
group_1996,MBMJMBDD_01315,+
prmC_1,MBMJMBDD_01319,+
ilvC,MBMJMBDD_01321,-
group_1999,MBMJMBDD_01325,-
group_200,MBMJMBDD_02907,-
group_2000,MBMJMBDD_01331,-
group_2001,MBMJMBDD_01332,-
group_2002,MBMJMBDD_01333,+
ydfJ_1,MBMJMBDD_01335,-
yvdD,MBMJMBDD_01344,-
group_2005,MBMJMBDD_01345,+
group_2006,MBMJMBDD_01346,+
group_2007,MBMJMBDD_01350,-
group_2008,MBMJMBDD_01352,-
btuD_6,MBMJMBDD_01353,-
gsiD_4,MBMJMBDD_01355,-
dppA_3,MBMJMBDD_01357,-
group_2012,MBMJMBDD_01358,-
group_2013,MBMJMBDD_01360,-
gcvT_1,MBMJMBDD_01361,+
gcvH_1,MBMJMBDD_01362,+
group_2016,MBMJMBDD_01365,-
group_2017,MBMJMBDD_01366,+
kdpA,MBMJMBDD_01367,+
kdpB_3,MBMJMBDD_01368,+
kdpE_2,MBMJMBDD_01370,+
oxd,MBMJMBDD_01373,+
leuO,MBMJMBDD_01374,+
group_2023,MBMJMBDD_01375,+
group_2024,MBMJMBDD_01376,+
group_2025,MBMJMBDD_01380,-
group_2026,MBMJMBDD_01382,-
group_2027,MBMJMBDD_01383,-
echA8_2,MBMJMBDD_01384,-
ldtB_2,MBMJMBDD_01386,-
glgX_2,MBMJMBDD_01387,+
group_2031,MBMJMBDD_01388,-
lnrL_2,MBMJMBDD_01389,-
group_2033,MBMJMBDD_01390,+
group_2034,MBMJMBDD_01391,+
group_2036,MBMJMBDD_01394,+
pstI,MBMJMBDD_01396,+
glgB,MBMJMBDD_01400,+
group_2039,MBMJMBDD_01402,-
dltA_7,MBMJMBDD_05999,-
ackA,MBMJMBDD_01412,+
group_2041,MBMJMBDD_01414,-
group_2042,MBMJMBDD_01415,-
group_2043,MBMJMBDD_01418,+
group_2044,MBMJMBDD_01422,-
cenA,MBMJMBDD_01423,+
group_2046,MBMJMBDD_01424,-
group_2047,MBMJMBDD_01425,-
group_2048,MBMJMBDD_01429,-
group_2049,MBMJMBDD_01430,+
group_2050,MBMJMBDD_01432,+
group_2051,MBMJMBDD_01433,+
group_2052,MBMJMBDD_01434,+
group_2053,MBMJMBDD_01435,+
sasA_3,MBMJMBDD_01436,-
group_2055,MBMJMBDD_01439,+
bcrA_1,MBMJMBDD_01445,+
group_2057,MBMJMBDD_01446,+
bcrA_2,MBMJMBDD_01447,+
group_2059,MBMJMBDD_01448,+
group_2060,MBMJMBDD_01458,+
degU_1,MBMJMBDD_01459,+
chtA_1,MBMJMBDD_01460,+
atpE,MBMJMBDD_01469,-
tagU_1,MBMJMBDD_01478,-
hom,MBMJMBDD_01482,-
group_2066,MBMJMBDD_01484,-
mprA_1,MBMJMBDD_01485,-
group_2069,MBMJMBDD_01488,+
cpdA_1,MBMJMBDD_00034,+
group_2070,MBMJMBDD_01490,-
group_2071,MBMJMBDD_01492,+
group_2072,MBMJMBDD_01493,+
ku,MBMJMBDD_01495,-
ligD_1,MBMJMBDD_01496,+
rodA_1,MBMJMBDD_01498,+
pbpA_1,MBMJMBDD_01499,+
group_2077,MBMJMBDD_01501,-
group_2078,MBMJMBDD_01503,+
group_2079,MBMJMBDD_01505,-
group_2080,MBMJMBDD_01510,-
group_2081,MBMJMBDD_01511,+
acm_2,MBMJMBDD_01513,+
group_2083,MBMJMBDD_01514,+
qacA_2,MBMJMBDD_01516,+
group_2085,MBMJMBDD_01517,+
sigE_1,MBMJMBDD_01519,+
yxlF_1,MBMJMBDD_01521,+
group_2088,MBMJMBDD_01524,+
baeS,MBMJMBDD_01526,+
group_209,MBMJMBDD_00061,-
chuR,MBMJMBDD_01530,-
group_2091,MBMJMBDD_01537,-
group_2092,MBMJMBDD_01538,+
group_2093,MBMJMBDD_01548,-
ytrA_2,MBMJMBDD_01552,-
group_2095,MBMJMBDD_01553,-
group_2096,MBMJMBDD_01554,+
group_2097,MBMJMBDD_01555,-
dcyD,MBMJMBDD_01563,+
group_2099,MBMJMBDD_01565,+
group_21,MBMJMBDD_01828,+
dasB_1,MBMJMBDD_01576,-
cstA,MBMJMBDD_01579,+
group_2102,MBMJMBDD_01580,+
cyc1,MBMJMBDD_01584,-
group_2104,MBMJMBDD_01591,+
group_2105,MBMJMBDD_01595,-
furA,MBMJMBDD_01598,+
group_2107,MBMJMBDD_01605,-
group_2108,MBMJMBDD_01607,-
group_2109,MBMJMBDD_01613,-
group_211,MBMJMBDD_00075,+
uvrD2,MBMJMBDD_01619,-
caeA_1,MBMJMBDD_01627,+
group_2112,MBMJMBDD_01630,-
group_2113,MBMJMBDD_01643,-
group_2114,MBMJMBDD_01644,+
yciV,MBMJMBDD_01646,-
yfmO,MBMJMBDD_01647,+
group_2117,MBMJMBDD_01651,+
group_2118,MBMJMBDD_01652,-
group_2119,MBMJMBDD_01659,-
pgl_1,MBMJMBDD_00113,-
sigE_2,MBMJMBDD_01660,-
trmR,MBMJMBDD_01661,+
tag,MBMJMBDD_01665,-
group_2123,MBMJMBDD_01666,-
nat_1,MBMJMBDD_01668,+
group_2125,MBMJMBDD_01669,-
group_2126,MBMJMBDD_01670,+
group_2127,MBMJMBDD_01673,+
group_2128,MBMJMBDD_01675,+
group_2129,MBMJMBDD_01678,+
mro,MBMJMBDD_01680,-
yjfF,MBMJMBDD_01682,-
rbsC_4,MBMJMBDD_01683,-
araG_2,MBMJMBDD_01684,-
purR_2,MBMJMBDD_01685,-
group_2135,MBMJMBDD_01687,-
group_2136,MBMJMBDD_01689,-
mshB_1,MBMJMBDD_01690,-
dap4,MBMJMBDD_01692,+
group_2139,MBMJMBDD_01693,-
group_214,MBMJMBDD_00119,-
oppC,MBMJMBDD_01702,-
dppB_4,MBMJMBDD_01703,-
group_2142,MBMJMBDD_01707,-
group_2143,MBMJMBDD_01708,+
group_2144,MBMJMBDD_01709,-
group_2145,MBMJMBDD_01710,-
group_2146,MBMJMBDD_01712,-
group_2147,MBMJMBDD_01715,-
group_2148,MBMJMBDD_01716,+
group_2150,MBMJMBDD_01719,+
group_2151,MBMJMBDD_01721,+
group_2152,MBMJMBDD_01724,-
group_2153,MBMJMBDD_01725,+
group_2154,MBMJMBDD_01726,-
aam_1,MBMJMBDD_01732,+
fliY,MBMJMBDD_01734,+
glnQ_3,MBMJMBDD_01737,+
group_2158,MBMJMBDD_01738,+
cdhR_1,MBMJMBDD_01739,-
group_2160,MBMJMBDD_01740,+
group_2161,MBMJMBDD_01741,-
group_2162,MBMJMBDD_01744,-
group_2163,MBMJMBDD_01748,+
group_2164,MBMJMBDD_01750,-
group_2165,MBMJMBDD_01755,-
yidC_1,MBMJMBDD_01756,-
moaE1,MBMJMBDD_01606,-
group_2172,MBMJMBDD_01769,-
group_2173,MBMJMBDD_01771,-
group_2174,MBMJMBDD_01772,-
mtgA_1,MBMJMBDD_01773,+
group_2176,MBMJMBDD_01776,-
bcp,MBMJMBDD_01777,+
group_2178,MBMJMBDD_01781,-
cysM,MBMJMBDD_01787,-
cysO_1,MBMJMBDD_01788,-
group_2181,MBMJMBDD_01791,-
pncA,MBMJMBDD_01795,+
group_2184,MBMJMBDD_01799,-
hpd,MBMJMBDD_01804,-
opuCA_1,MBMJMBDD_01807,+
group_2187,MBMJMBDD_01808,+
osmX_1,MBMJMBDD_01809,+
group_2189,MBMJMBDD_01810,+
fdhD_2,MBMJMBDD_00397,+
tap_3,MBMJMBDD_01812,+
group_2192,MBMJMBDD_01814,-
group_2195,MBMJMBDD_01831,+
group_2196,MBMJMBDD_01835,-
dasB_2,MBMJMBDD_01842,-
group_2198,MBMJMBDD_01844,-
group_2199,MBMJMBDD_01845,-
group_22,MBMJMBDD_02646,+
zwf1,MBMJMBDD_00139,+
group_2200,MBMJMBDD_01851,+
group_2201,MBMJMBDD_01852,-
group_2203,MBMJMBDD_01855,-
group_2204,MBMJMBDD_01857,-
ctpA_1,MBMJMBDD_01862,-
prfB,MBMJMBDD_01867,-
group_2207,MBMJMBDD_01870,+
group_2208,MBMJMBDD_01873,+
tagF,MBMJMBDD_01875,+
gtfA,MBMJMBDD_01876,-
group_2211,MBMJMBDD_01877,-
group_2212,MBMJMBDD_01880,-
gph_3,MBMJMBDD_01884,-
group_2214,MBMJMBDD_01885,-
group_2215,MBMJMBDD_01886,+
hcaR_2,MBMJMBDD_01887,-
group_2217,MBMJMBDD_01890,+
group_2218,MBMJMBDD_01893,+
hpf,MBMJMBDD_01895,-
group_222,MBMJMBDD_00141,-
group_2220,MBMJMBDD_01896,-
sasA_4,MBMJMBDD_01898,-
group_2222,MBMJMBDD_01901,+
group_2223,MBMJMBDD_01904,+
manA,MBMJMBDD_01914,-
group_2225,MBMJMBDD_01917,+
group_2226,MBMJMBDD_01924,-
group_2227,MBMJMBDD_01929,-
group_2228,MBMJMBDD_01932,+
tagU_2,MBMJMBDD_01933,+
group_2230,MBMJMBDD_01934,+
lcpB_1,MBMJMBDD_01938,+
group_2236,MBMJMBDD_01947,-
group_2239,MBMJMBDD_01955,-
group_2240,MBMJMBDD_01957,-
group_2241,MBMJMBDD_01958,-
group_2242,MBMJMBDD_01959,+
group_2243,MBMJMBDD_01960,-
group_2244,MBMJMBDD_01961,+
purE,MBMJMBDD_01963,-
group_2246,MBMJMBDD_01965,+
group_2247,MBMJMBDD_01969,-
hutI_1,MBMJMBDD_01972,-
lysA_2,MBMJMBDD_01975,+
group_225,MBMJMBDD_00174,+
yhdG_3,MBMJMBDD_01976,+
group_2251,MBMJMBDD_01977,-
group_2252,MBMJMBDD_01980,-
purR_3,MBMJMBDD_01981,+
group_2254,MBMJMBDD_01982,+
group_2255,MBMJMBDD_01983,+
group_2256,MBMJMBDD_01984,+
group_2257,MBMJMBDD_01985,+
group_2258,MBMJMBDD_01987,-
group_2259,MBMJMBDD_01990,+
group_2260,MBMJMBDD_01994,-
group_2261,MBMJMBDD_01995,-
group_2262,MBMJMBDD_01996,-
lnrL_3,MBMJMBDD_01997,-
group_2264,MBMJMBDD_01998,+
group_2265,MBMJMBDD_02001,+
group_2266,MBMJMBDD_02003,-
ppx2,MBMJMBDD_02006,-
group_2268,MBMJMBDD_02007,-
group_2269,MBMJMBDD_02010,-
group_2271,MBMJMBDD_02012,-
group_2272,MBMJMBDD_02013,-
group_2273,MBMJMBDD_02014,-
group_2274,MBMJMBDD_02024,+
group_2275,MBMJMBDD_02026,+
betI_6,MBMJMBDD_02028,+
group_2278,MBMJMBDD_02030,-
group_2279,MBMJMBDD_02036,-
group_228,MBMJMBDD_00203,-
afsR_1,MBMJMBDD_02041,-
group_2281,MBMJMBDD_02042,-
ydaF,MBMJMBDD_02045,+
group_2283,MBMJMBDD_02048,-
group_2284,MBMJMBDD_02050,-
group_2285,MBMJMBDD_02052,-
novJ_1,MBMJMBDD_02054,-
group_2287,MBMJMBDD_02055,+
group_2288,MBMJMBDD_02056,+
group_2289,MBMJMBDD_02060,+
catI,MBMJMBDD_00217,+
group_2290,MBMJMBDD_02061,+
lnrJ,MBMJMBDD_02062,-
rplY,MBMJMBDD_02070,+
group_2295,MBMJMBDD_02072,+
tam_5,MBMJMBDD_02077,-
galE_2,MBMJMBDD_02081,-
galT,MBMJMBDD_02082,-
group_2299,MBMJMBDD_02084,+
group_23,MBMJMBDD_03443,-
group_2300,MBMJMBDD_02086,-
group_2301,MBMJMBDD_02087,-
ispE,MBMJMBDD_02090,-
ksgA,MBMJMBDD_02091,-
tatD,MBMJMBDD_02092,-
nagJ,MBMJMBDD_02093,-
rsmI,MBMJMBDD_02095,-
mrdA_1,MBMJMBDD_02102,+
group_2308,MBMJMBDD_02104,-
group_2309,MBMJMBDD_02107,+
group_2310,MBMJMBDD_02109,+
ydfJ_2,MBMJMBDD_02110,-
tri1_1,MBMJMBDD_02112,+
group_2313,MBMJMBDD_02113,+
catD_2,MBMJMBDD_02115,-
group_2315,MBMJMBDD_02117,+
exoA,MBMJMBDD_02118,-
group_2317,MBMJMBDD_02119,+
group_2319,MBMJMBDD_02121,-
group_2320,MBMJMBDD_02123,+
liaR_2,MBMJMBDD_02124,+
group_2322,MBMJMBDD_02126,-
rimJ_2,MBMJMBDD_02131,-
group_2325,MBMJMBDD_02136,+
nhaP,MBMJMBDD_02138,+
group_2327,MBMJMBDD_02139,+
group_2329,MBMJMBDD_02147,+
group_233,MBMJMBDD_00236,-
efpA_2,MBMJMBDD_02152,-
group_2332,MBMJMBDD_02153,-
group_2333,MBMJMBDD_02155,+
group_2334,MBMJMBDD_02159,+
group_2335,MBMJMBDD_02160,+
paaK,MBMJMBDD_02161,-
group_2337,MBMJMBDD_02162,-
astD,MBMJMBDD_02163,+
crt,MBMJMBDD_02165,+
group_234,MBMJMBDD_00288,+
paaA_1,MBMJMBDD_02167,+
paaC_1,MBMJMBDD_02169,+
group_2342,MBMJMBDD_02174,-
group_2350,MBMJMBDD_02205,+
group_2351,MBMJMBDD_02206,-
map-1_1,MBMJMBDD_02207,+
group_2353,MBMJMBDD_02211,+
group_2354,MBMJMBDD_02212,+
group_2355,MBMJMBDD_02215,+
group_2357,MBMJMBDD_02218,+
group_2358,MBMJMBDD_02219,-
group_2359,MBMJMBDD_02222,-
group_2360,MBMJMBDD_02228,-
acyII,MBMJMBDD_02229,-
irtA,MBMJMBDD_02230,+
mfpA,MBMJMBDD_02233,-
group_2364,MBMJMBDD_02234,-
afsR_2,MBMJMBDD_02235,+
group_2366,MBMJMBDD_02236,+
group_2367,MBMJMBDD_02238,+
group_2368,MBMJMBDD_02239,-
group_2369,MBMJMBDD_02243,-
group_2370,MBMJMBDD_02248,-
cdhR_3,MBMJMBDD_02249,+
group_2372,MBMJMBDD_02250,-
group_2373,MBMJMBDD_02255,+
purU,MBMJMBDD_02256,-
group_2375,MBMJMBDD_02257,-
group_2376,MBMJMBDD_02258,+
group_2377,MBMJMBDD_02259,-
group_2378,MBMJMBDD_02261,+
group_2379,MBMJMBDD_02262,+
group_238,MBMJMBDD_00301,+
btuD_11,MBMJMBDD_02263,+
group_2381,MBMJMBDD_02264,+
group_2382,MBMJMBDD_02265,-
slmA,MBMJMBDD_02266,+
group_2384,MBMJMBDD_02267,-
group_2385,MBMJMBDD_02269,+
pdxH_2,MBMJMBDD_02271,-
citA,MBMJMBDD_02272,+
tap_5,MBMJMBDD_02273,-
cymR,MBMJMBDD_02274,-
ligC,MBMJMBDD_00332,+
rhtA_2,MBMJMBDD_02284,-
hcaR_3,MBMJMBDD_02285,+
group_2392,MBMJMBDD_02290,+
pksS,MBMJMBDD_02292,+
ncsB3_3,MBMJMBDD_02293,+
thadh,MBMJMBDD_02295,-
group_2396,MBMJMBDD_02296,-
drrA_1,MBMJMBDD_02297,-
group_2398,MBMJMBDD_02298,+
group_2399,MBMJMBDD_02299,-
group_2400,MBMJMBDD_02302,+
group_2401,MBMJMBDD_02303,+
group_2402,MBMJMBDD_02304,+
group_2403,MBMJMBDD_02305,+
group_2404,MBMJMBDD_02306,-
group_2405,MBMJMBDD_02308,+
group_2406,MBMJMBDD_02309,-
group_2407,MBMJMBDD_02310,+
group_2408,MBMJMBDD_02311,-
group_2409,MBMJMBDD_02312,-
group_241,MBMJMBDD_00343,+
group_2410,MBMJMBDD_02314,-
thpR,MBMJMBDD_02315,-
group_2412,MBMJMBDD_02318,+
group_2413,MBMJMBDD_02322,-
group_2414,MBMJMBDD_02324,-
group_2415,MBMJMBDD_02325,-
group_2416,MBMJMBDD_02326,+
mqnB,MBMJMBDD_02328,+
yfiY,MBMJMBDD_02337,-
fepC_4,MBMJMBDD_02338,-
yfhA_3,MBMJMBDD_02339,-
yfiZ_2,MBMJMBDD_02340,-
gph_5,MBMJMBDD_02341,+
group_2423,MBMJMBDD_02342,+
pikC_2,MBMJMBDD_02344,-
group_2425,MBMJMBDD_02349,-
group_2428,MBMJMBDD_02357,+
rutC,MBMJMBDD_00350,-
group_2430,MBMJMBDD_02363,-
cutC,MBMJMBDD_02372,-
group_2434,MBMJMBDD_02373,+
group_2436,MBMJMBDD_02383,-
gpmA_2,MBMJMBDD_02385,-
group_2438,MBMJMBDD_02394,-
otsA,MBMJMBDD_02402,+
group_244,MBMJMBDD_00376,-
group_2440,MBMJMBDD_02404,-
group_2442,MBMJMBDD_02408,-
group_2443,MBMJMBDD_02412,+
gbpA_2,MBMJMBDD_02413,+
lacC_2,MBMJMBDD_02414,+
group_2446,MBMJMBDD_02421,+
fdhA_2,MBMJMBDD_02422,+
group_2448,MBMJMBDD_02423,+
group_2449,MBMJMBDD_02424,-
group_2450,MBMJMBDD_02425,+
group_2454,MBMJMBDD_02431,+
group_2455,MBMJMBDD_02432,+
group_2456,MBMJMBDD_02433,-
group_2458,MBMJMBDD_02435,-
group_246,MBMJMBDD_00380,-
group_2460,MBMJMBDD_02446,+
wbiB,MBMJMBDD_02450,-
group_2462,MBMJMBDD_02452,+
group_2463,MBMJMBDD_02453,+
group_2464,MBMJMBDD_02454,+
group_2465,MBMJMBDD_02458,+
group_2466,MBMJMBDD_02460,+
group_2468,MBMJMBDD_02474,-
group_2469,MBMJMBDD_02482,-
group_2470,MBMJMBDD_02484,-
eryA,MBMJMBDD_02486,-
group_2472,MBMJMBDD_02491,+
fprB,MBMJMBDD_02493,+
thiI,MBMJMBDD_02494,+
group_2475,MBMJMBDD_02503,-
group_2476,MBMJMBDD_02504,-
group_2477,MBMJMBDD_02505,-
group_2478,MBMJMBDD_02506,-
group_2479,MBMJMBDD_02507,-
bltD,MBMJMBDD_02508,+
group_2481,MBMJMBDD_02510,+
rfbF,MBMJMBDD_02557,+
group_2493,MBMJMBDD_02558,+
cysS,MBMJMBDD_02562,-
dppE_1,MBMJMBDD_02566,-
group_2497,MBMJMBDD_02567,-
ispF,MBMJMBDD_02569,-
sasA_6,MBMJMBDD_02574,-
alsT,MBMJMBDD_00400,-
group_2500,MBMJMBDD_02579,-
group_2501,MBMJMBDD_02597,+
group_2502,MBMJMBDD_02601,+
group_2503,MBMJMBDD_02602,-
group_2504,MBMJMBDD_02604,-
group_2505,MBMJMBDD_02605,-
ufaA1,MBMJMBDD_02606,-
group_2507,MBMJMBDD_02608,-
yfcD_1,MBMJMBDD_02609,-
group_2509,MBMJMBDD_02610,+
fecE_2,MBMJMBDD_02614,-
btuF_2,MBMJMBDD_02616,-
iclR_2,MBMJMBDD_02617,+
group_2513,MBMJMBDD_02619,-
group_2514,MBMJMBDD_02620,-
group_2515,MBMJMBDD_02621,+
ndh,MBMJMBDD_02631,-
group_2518,MBMJMBDD_02632,+
group_2519,MBMJMBDD_02633,+
group_252,MBMJMBDD_00430,+
group_2520,MBMJMBDD_02634,-
group_2522,MBMJMBDD_02638,+
cobB_2,MBMJMBDD_02639,-
group_2524,MBMJMBDD_02640,+
ppiA,MBMJMBDD_02641,+
lcfB_1,MBMJMBDD_02650,+
group_253,MBMJMBDD_00481,-
accD3,MBMJMBDD_02651,+
group_2531,MBMJMBDD_02652,-
group_2532,MBMJMBDD_02653,+
group_2533,MBMJMBDD_02654,-
group_2534,MBMJMBDD_02655,+
hpr,MBMJMBDD_02657,+
group_2536,MBMJMBDD_02660,+
group_2537,MBMJMBDD_02662,-
group_2539,MBMJMBDD_02668,-
ggt,MBMJMBDD_00489,-
group_2540,MBMJMBDD_02676,+
group_2541,MBMJMBDD_02678,+
caeA_2,MBMJMBDD_02700,-
tmk,MBMJMBDD_02702,-
group_2550,MBMJMBDD_02704,-
prmC_3,MBMJMBDD_02705,-
group_2552,MBMJMBDD_02714,-
group_2553,MBMJMBDD_02716,-
group_2554,MBMJMBDD_02717,+
group_2555,MBMJMBDD_02718,-
group_2556,MBMJMBDD_02721,+
acsA_2,MBMJMBDD_02722,+
nhaA,MBMJMBDD_02723,+
group_2559,MBMJMBDD_02724,+
group_256,MBMJMBDD_00525,+
group_2560,MBMJMBDD_02731,-
group_2561,MBMJMBDD_02739,+
group_2563,MBMJMBDD_02745,+
group_2564,MBMJMBDD_02748,-
group_2565,MBMJMBDD_02749,-
ephB,MBMJMBDD_02750,-
pknD_3,MBMJMBDD_02751,+
group_2568,MBMJMBDD_02756,+
group_2569,MBMJMBDD_02757,-
group_257,MBMJMBDD_00526,-
group_2570,MBMJMBDD_02761,-
group_2571,MBMJMBDD_02767,-
group_2572,MBMJMBDD_02772,-
group_2573,MBMJMBDD_02773,-
group_2574,MBMJMBDD_02775,+
group_2575,MBMJMBDD_02778,-
group_2576,MBMJMBDD_02779,-
liaR_6,MBMJMBDD_02781,+
group_2578,MBMJMBDD_02787,+
nreC_4,MBMJMBDD_00528,+
group_2581,MBMJMBDD_02853,-
group_2582,MBMJMBDD_02856,-
group_2583,MBMJMBDD_02857,+
group_2584,MBMJMBDD_02858,+
group_2585,MBMJMBDD_02860,+
lhgD,MBMJMBDD_02861,+
group_2587,MBMJMBDD_02863,+
group_2588,MBMJMBDD_02865,-
group_2589,MBMJMBDD_02866,-
group_2590,MBMJMBDD_02868,-
clpC,MBMJMBDD_02870,+
group_2592,MBMJMBDD_02871,+
deaD_3,MBMJMBDD_02876,-
purF,MBMJMBDD_02891,-
group_2596,MBMJMBDD_02892,-
lsr2_1,MBMJMBDD_02896,+
btuD_13,MBMJMBDD_02898,+
group_2599,MBMJMBDD_02899,+
group_26,MBMJMBDD_02437,-
group_260,MBMJMBDD_00548,-
desR_1,MBMJMBDD_02901,+
purC,MBMJMBDD_02903,-
group_2602,MBMJMBDD_02916,-
group_2603,MBMJMBDD_02919,-
group_2604,MBMJMBDD_02920,-
fabG_2,MBMJMBDD_02922,+
group_2606,MBMJMBDD_02923,+
group_2607,MBMJMBDD_02928,+
group_2608,MBMJMBDD_02929,+
tadA_2,MBMJMBDD_02930,+
ccpA_3,MBMJMBDD_00622,+
group_2610,MBMJMBDD_02941,-
qacA_3,MBMJMBDD_02942,-
group_2612,MBMJMBDD_02943,+
sti,MBMJMBDD_02948,+
group_2615,MBMJMBDD_02952,-
group_2616,MBMJMBDD_02953,-
group_2617,MBMJMBDD_02958,+
group_2618,MBMJMBDD_02959,-
group_2619,MBMJMBDD_02960,+
group_2620,MBMJMBDD_02962,-
group_2621,MBMJMBDD_02966,+
group_2622,MBMJMBDD_02967,+
serS,MBMJMBDD_02970,+
btuD_14,MBMJMBDD_02975,-
ephD,MBMJMBDD_02976,+
group_2626,MBMJMBDD_02977,+
fgd_4,MBMJMBDD_02978,-
group_2628,MBMJMBDD_02980,-
dosT,MBMJMBDD_02981,-
group_263,MBMJMBDD_00628,-
btuD_15,MBMJMBDD_02982,-
pat,MBMJMBDD_02985,-
ssgB_3,MBMJMBDD_02991,-
group_2633,MBMJMBDD_02992,-
mccB,MBMJMBDD_02996,+
group_2635,MBMJMBDD_02998,+
dap_2,MBMJMBDD_03002,-
group_264,MBMJMBDD_00646,-
group_2643,MBMJMBDD_03031,-
mtgA_3,MBMJMBDD_03032,-
group_2645,MBMJMBDD_03035,+
group_2646,MBMJMBDD_03036,+
trxA,MBMJMBDD_03044,+
parB,MBMJMBDD_03046,-
rsmG,MBMJMBDD_03048,-
group_265,MBMJMBDD_00669,-
group_2650,MBMJMBDD_03057,+
group_2651,MBMJMBDD_03060,+
group_2652,MBMJMBDD_03065,+
group_2653,MBMJMBDD_03066,+
betI_7,MBMJMBDD_03074,-
cypB,MBMJMBDD_03077,+
trpG,MBMJMBDD_03082,+
pbpA_2,MBMJMBDD_03086,-
azoR,MBMJMBDD_03092,-
group_2659,MBMJMBDD_03093,+
group_2660,MBMJMBDD_03094,+
group_2661,MBMJMBDD_03097,+
group_2662,MBMJMBDD_03098,+
group_2663,MBMJMBDD_03100,+
pdhC,MBMJMBDD_03104,+
group_2665,MBMJMBDD_03106,+
qorA_1,MBMJMBDD_03108,+
group_2667,MBMJMBDD_03109,+
bpa,MBMJMBDD_03111,+
devR_2,MBMJMBDD_03114,-
group_2670,MBMJMBDD_03115,+
group_2671,MBMJMBDD_03122,+
group_2672,MBMJMBDD_03123,-
group_2673,MBMJMBDD_03127,-
group_2674,MBMJMBDD_03131,+
group_2675,MBMJMBDD_03182,+
group_2676,MBMJMBDD_03183,-
group_2677,MBMJMBDD_03185,-
modA,MBMJMBDD_03191,+
tagU_6,MBMJMBDD_03194,+
group_268,MBMJMBDD_00681,+
group_2680,MBMJMBDD_03195,-
adh,MBMJMBDD_03199,-
group_2682,MBMJMBDD_03200,-
group_2683,MBMJMBDD_03202,+
