Gene,albidoflavus_SM254,Sign
group_191,NDLJOBPC_04860,+
group_1910,NDLJOBPC_01292,-
group_1911,NDLJOBPC_01293,+
iucC_1,NDLJOBPC_01299,-
iucB,NDLJOBPC_01300,-
iucA,NDLJOBPC_01301,-
dat_1,NDLJOBPC_01302,-
group_1916,NDLJOBPC_01304,+
group_1917,NDLJOBPC_01306,-
dapF,NDLJOBPC_01308,-
miaA,NDLJOBPC_01310,-
group_1920,NDLJOBPC_01311,+
group_1921,NDLJOBPC_01312,-
group_1922,NDLJOBPC_01313,-
group_1923,NDLJOBPC_01315,+
sasA_2,NDLJOBPC_01316,-
glnH_2,NDLJOBPC_01319,+
group_1926,NDLJOBPC_01321,+
group_1927,NDLJOBPC_01323,+
recX,NDLJOBPC_01325,-
group_1929,NDLJOBPC_01327,-
group_193,NDLJOBPC_04950,+
hdfR_2,NDLJOBPC_01328,+
group_1931,NDLJOBPC_01329,+
dhmA,NDLJOBPC_01337,-
group_1933,NDLJOBPC_01338,+
nei,NDLJOBPC_01341,+
group_1935,NDLJOBPC_01342,-
cinA,NDLJOBPC_01345,-
group_1937,NDLJOBPC_01349,-
arnB,NDLJOBPC_01354,-
thyX,NDLJOBPC_01360,-
group_1940,NDLJOBPC_01361,+
ribF,NDLJOBPC_01377,-
rimP,NDLJOBPC_01385,-
group_1943,NDLJOBPC_01387,+
group_1944,NDLJOBPC_01388,+
group_1945,NDLJOBPC_01390,-
sgrR_1,NDLJOBPC_01395,-
group_1947,NDLJOBPC_01396,-
nanK_3,NDLJOBPC_01401,-
group_1949,NDLJOBPC_01403,-
group_195,NDLJOBPC_04982,+
group_1950,NDLJOBPC_01404,-
group_1951,NDLJOBPC_01406,+
group_1952,NDLJOBPC_01408,-
potA_1,NDLJOBPC_01412,-
group_1954,NDLJOBPC_01415,+
spuE,NDLJOBPC_01419,-
ytrE_2,NDLJOBPC_01424,+
group_1957,NDLJOBPC_01425,+
group_1958,NDLJOBPC_01426,+
group_1959,NDLJOBPC_01427,-
potA_2,NDLJOBPC_01428,-
thiB,NDLJOBPC_01430,-
group_1963,NDLJOBPC_01438,-
dprA,NDLJOBPC_01440,-
group_1965,NDLJOBPC_01445,-
group_1966,NDLJOBPC_01446,-
lepB,NDLJOBPC_01448,-
rimM,NDLJOBPC_01451,-
smc,NDLJOBPC_01465,-
TDO2_2,NDLJOBPC_06230,-
group_1970,NDLJOBPC_01468,+
group_1971,NDLJOBPC_01482,-
group_1972,NDLJOBPC_01491,+
group_1973,NDLJOBPC_01494,-
fbiD_1,NDLJOBPC_01495,+
group_1975,NDLJOBPC_01496,+
group_1976,NDLJOBPC_01502,-
group_1977,NDLJOBPC_01503,+
gph_2,NDLJOBPC_01509,-
gltX,NDLJOBPC_01510,-
group_1980,NDLJOBPC_01513,-
group_1981,NDLJOBPC_01514,+
group_1982,NDLJOBPC_01515,+
group_1983,NDLJOBPC_01520,+
group_1984,NDLJOBPC_01525,+
group_1985,NDLJOBPC_01526,+
group_1986,NDLJOBPC_01534,-
group_1987,NDLJOBPC_01539,+
cyc2,NDLJOBPC_01542,+
group_1989,NDLJOBPC_01543,-
ureA_1,NDLJOBPC_01548,-
group_1992,NDLJOBPC_01551,-
group_1993,NDLJOBPC_01552,+
group_1994,NDLJOBPC_01553,+
group_1995,NDLJOBPC_01554,+
group_1996,NDLJOBPC_01558,+
prmC_1,NDLJOBPC_01562,+
ilvC,NDLJOBPC_01564,-
group_1999,NDLJOBPC_01568,-
group_200,NDLJOBPC_03049,-
group_2000,NDLJOBPC_01574,-
group_2001,NDLJOBPC_01575,-
group_2002,NDLJOBPC_01576,+
ydfJ_1,NDLJOBPC_01578,-
yvdD,NDLJOBPC_01587,-
group_2005,NDLJOBPC_01588,+
group_2006,NDLJOBPC_01589,+
group_2007,NDLJOBPC_01593,-
group_2008,NDLJOBPC_01595,-
btuD_6,NDLJOBPC_01596,-
gsiD_4,NDLJOBPC_01598,-
dppA_3,NDLJOBPC_01600,-
group_2012,NDLJOBPC_01601,-
group_2013,NDLJOBPC_01603,-
gcvT_1,NDLJOBPC_01604,+
gcvH_1,NDLJOBPC_01605,+
group_2016,NDLJOBPC_01608,-
group_2017,NDLJOBPC_01609,+
kdpA,NDLJOBPC_01610,+
kdpB_3,NDLJOBPC_01611,+
kdpE_2,NDLJOBPC_01613,+
oxd,NDLJOBPC_01616,+
leuO,NDLJOBPC_01617,+
group_2023,NDLJOBPC_01618,+
group_2024,NDLJOBPC_01619,+
group_2025,NDLJOBPC_01623,-
group_2026,NDLJOBPC_01625,-
group_2027,NDLJOBPC_01626,-
echA8_2,NDLJOBPC_01627,-
ldtB_2,NDLJOBPC_01629,-
glgX_2,NDLJOBPC_01630,+
group_2031,NDLJOBPC_01631,-
lnrL_2,NDLJOBPC_01632,-
group_2033,NDLJOBPC_01633,+
group_2034,NDLJOBPC_01634,+
group_2036,NDLJOBPC_01637,+
pstI,NDLJOBPC_01639,+
glgB,NDLJOBPC_01643,+
group_2039,NDLJOBPC_01645,-
dltA_7,NDLJOBPC_06246,-
ackA,NDLJOBPC_01655,+
group_2041,NDLJOBPC_01657,-
group_2042,NDLJOBPC_01658,-
group_2043,NDLJOBPC_01661,+
group_2044,NDLJOBPC_01665,-
cenA,NDLJOBPC_01666,+
group_2046,NDLJOBPC_01667,-
group_2047,NDLJOBPC_01668,-
group_2048,NDLJOBPC_01672,-
group_2049,NDLJOBPC_01673,+
group_2050,NDLJOBPC_01675,+
group_2051,NDLJOBPC_01676,+
group_2052,NDLJOBPC_01677,+
group_2053,NDLJOBPC_01678,+
sasA_3,NDLJOBPC_01679,-
group_2055,NDLJOBPC_01682,+
bcrA_1,NDLJOBPC_01688,+
group_2057,NDLJOBPC_01689,+
bcrA_2,NDLJOBPC_01690,+
group_2059,NDLJOBPC_01691,+
group_2060,NDLJOBPC_01701,+
degU_1,NDLJOBPC_01702,+
chtA_1,NDLJOBPC_01703,+
atpE,NDLJOBPC_01712,-
tagU_1,NDLJOBPC_01721,-
hom,NDLJOBPC_01725,-
group_2066,NDLJOBPC_01727,-
mprA_1,NDLJOBPC_01728,-
group_2069,NDLJOBPC_01731,+
cpdA_1,NDLJOBPC_00301,+
group_2070,NDLJOBPC_01733,-
group_2071,NDLJOBPC_01735,+
group_2072,NDLJOBPC_01736,+
ku,NDLJOBPC_01738,-
ligD_1,NDLJOBPC_01739,+
rodA_1,NDLJOBPC_01741,+
pbpA_1,NDLJOBPC_01742,+
group_2077,NDLJOBPC_01744,-
group_2078,NDLJOBPC_01746,+
group_2079,NDLJOBPC_01748,-
group_2080,NDLJOBPC_01753,-
group_2081,NDLJOBPC_01754,+
acm_2,NDLJOBPC_01756,+
group_2083,NDLJOBPC_01757,+
qacA_2,NDLJOBPC_01759,+
group_2085,NDLJOBPC_01760,+
sigE_1,NDLJOBPC_01762,+
yxlF_1,NDLJOBPC_01764,+
group_2088,NDLJOBPC_01767,+
baeS,NDLJOBPC_01769,+
group_209,NDLJOBPC_00320,-
chuR,NDLJOBPC_01773,-
group_2091,NDLJOBPC_01780,-
group_2092,NDLJOBPC_01781,+
group_2093,NDLJOBPC_01791,-
ytrA_2,NDLJOBPC_01795,-
group_2095,NDLJOBPC_01796,-
group_2096,NDLJOBPC_01797,+
group_2097,NDLJOBPC_01798,-
dcyD,NDLJOBPC_01806,+
group_2099,NDLJOBPC_01809,+
group_21,NDLJOBPC_02065,+
dasB_1,NDLJOBPC_01819,-
cstA,NDLJOBPC_01822,+
group_2102,NDLJOBPC_01823,+
cyc1,NDLJOBPC_01827,-
group_2104,NDLJOBPC_01834,+
group_2105,NDLJOBPC_01838,-
furA,NDLJOBPC_01841,+
group_2107,NDLJOBPC_01848,-
group_2108,NDLJOBPC_01850,-
group_2109,NDLJOBPC_01856,-
group_211,NDLJOBPC_00334,+
uvrD2,NDLJOBPC_01862,-
caeA_1,NDLJOBPC_01870,+
group_2112,NDLJOBPC_01873,-
group_2113,NDLJOBPC_01886,-
group_2114,NDLJOBPC_01887,+
yciV,NDLJOBPC_01889,-
yfmO,NDLJOBPC_01890,+
group_2117,NDLJOBPC_01894,+
group_2118,NDLJOBPC_01895,-
group_2119,NDLJOBPC_01903,-
pgl_1,NDLJOBPC_00372,-
sigE_2,NDLJOBPC_01904,-
trmR,NDLJOBPC_01905,+
tag,NDLJOBPC_01909,-
group_2123,NDLJOBPC_01910,-
nat_1,NDLJOBPC_01912,+
group_2125,NDLJOBPC_01913,-
group_2126,NDLJOBPC_01914,+
group_2127,NDLJOBPC_01917,+
group_2128,NDLJOBPC_01919,+
group_2129,NDLJOBPC_01922,+
mro,NDLJOBPC_01924,-
yjfF,NDLJOBPC_01926,-
rbsC_4,NDLJOBPC_01927,-
araG_2,NDLJOBPC_01928,-
purR_2,NDLJOBPC_01929,-
group_2135,NDLJOBPC_01931,-
group_2136,NDLJOBPC_01933,-
mshB_1,NDLJOBPC_01934,-
dap4,NDLJOBPC_01936,+
group_2139,NDLJOBPC_01937,-
group_214,NDLJOBPC_00378,-
oppC,NDLJOBPC_01946,-
dppB_4,NDLJOBPC_01947,-
group_2142,NDLJOBPC_01951,-
group_2143,NDLJOBPC_01952,+
group_2144,NDLJOBPC_01953,-
group_2145,NDLJOBPC_01954,-
group_2146,NDLJOBPC_01956,-
group_2147,NDLJOBPC_01959,-
group_2148,NDLJOBPC_01960,+
group_2150,NDLJOBPC_01963,+
group_2151,NDLJOBPC_01965,+
group_2152,NDLJOBPC_01968,-
group_2153,NDLJOBPC_01969,+
group_2154,NDLJOBPC_01970,-
aam_1,NDLJOBPC_01976,+
fliY,NDLJOBPC_01978,+
glnQ_3,NDLJOBPC_01981,+
group_2158,NDLJOBPC_01982,+
cdhR_1,NDLJOBPC_01983,-
group_2160,NDLJOBPC_01984,+
group_2161,NDLJOBPC_01985,-
group_2162,NDLJOBPC_01988,-
group_2163,NDLJOBPC_01992,+
group_2164,NDLJOBPC_01994,-
group_2165,NDLJOBPC_01999,-
yidC_1,NDLJOBPC_02000,-
moaE1,NDLJOBPC_01849,-
group_2172,NDLJOBPC_02008,-
group_2173,NDLJOBPC_02010,-
group_2174,NDLJOBPC_02011,-
mtgA_1,NDLJOBPC_02012,+
group_2176,NDLJOBPC_02015,-
bcp,NDLJOBPC_02016,+
group_2178,NDLJOBPC_02024,-
cysM,NDLJOBPC_02030,-
cysO_1,NDLJOBPC_02031,-
group_2181,NDLJOBPC_02034,-
pncA,NDLJOBPC_02038,+
group_2184,NDLJOBPC_02041,-
hpd,NDLJOBPC_02046,-
opuCA_1,NDLJOBPC_02049,+
group_2187,NDLJOBPC_02050,+
osmX_1,NDLJOBPC_02051,+
group_2189,NDLJOBPC_02052,+
fdhD_2,NDLJOBPC_00656,+
tap_3,NDLJOBPC_02053,+
group_2192,NDLJOBPC_02055,-
group_2195,NDLJOBPC_02068,+
group_2196,NDLJOBPC_02072,-
dasB_2,NDLJOBPC_02079,-
group_2198,NDLJOBPC_02081,-
group_2199,NDLJOBPC_02082,-
group_22,NDLJOBPC_02850,+
zwf1,NDLJOBPC_00398,+
group_2200,NDLJOBPC_02088,+
group_2201,NDLJOBPC_02089,-
group_2203,NDLJOBPC_02092,-
group_2204,NDLJOBPC_02094,-
ctpA_1,NDLJOBPC_02099,-
prfB,NDLJOBPC_02104,-
group_2207,NDLJOBPC_02111,+
group_2208,NDLJOBPC_02114,+
tagF,NDLJOBPC_02116,+
gtfA,NDLJOBPC_02117,-
group_2211,NDLJOBPC_02118,-
group_2212,NDLJOBPC_02121,-
gph_3,NDLJOBPC_02125,-
group_2214,NDLJOBPC_02126,-
group_2215,NDLJOBPC_02127,+
hcaR_2,NDLJOBPC_02128,-
group_2217,NDLJOBPC_02131,+
group_2218,NDLJOBPC_02135,+
hpf,NDLJOBPC_02137,-
group_222,NDLJOBPC_00400,-
group_2220,NDLJOBPC_02138,-
sasA_4,NDLJOBPC_02140,-
group_2222,NDLJOBPC_02143,+
group_2223,NDLJOBPC_02146,+
manA,NDLJOBPC_02156,-
group_2225,NDLJOBPC_02159,+
group_2226,NDLJOBPC_02167,-
group_2227,NDLJOBPC_02172,-
group_2228,NDLJOBPC_02175,+
tagU_2,NDLJOBPC_02176,+
group_2230,NDLJOBPC_02177,+
lcpB_1,NDLJOBPC_02181,+
group_2236,NDLJOBPC_02191,-
group_2239,NDLJOBPC_02198,-
group_2240,NDLJOBPC_02200,-
group_2241,NDLJOBPC_02201,-
group_2242,NDLJOBPC_02202,+
group_2243,NDLJOBPC_02203,-
group_2244,NDLJOBPC_02204,+
purE,NDLJOBPC_02206,-
group_2246,NDLJOBPC_02208,+
group_2247,NDLJOBPC_02212,-
hutI_1,NDLJOBPC_02215,-
lysA_2,NDLJOBPC_02218,+
group_225,NDLJOBPC_00433,+
yhdG_3,NDLJOBPC_02219,+
group_2251,NDLJOBPC_02220,-
group_2252,NDLJOBPC_02223,-
purR_3,NDLJOBPC_02224,+
group_2254,NDLJOBPC_02225,+
group_2255,NDLJOBPC_02226,+
group_2256,NDLJOBPC_02227,+
group_2257,NDLJOBPC_02228,+
group_2258,NDLJOBPC_02230,-
group_2259,NDLJOBPC_02233,+
group_2260,NDLJOBPC_02237,-
group_2261,NDLJOBPC_02238,-
group_2262,NDLJOBPC_02239,-
lnrL_3,NDLJOBPC_02240,-
group_2264,NDLJOBPC_02241,+
group_2265,NDLJOBPC_02244,+
group_2266,NDLJOBPC_02246,-
ppx2,NDLJOBPC_02249,-
group_2268,NDLJOBPC_02250,-
group_2269,NDLJOBPC_02253,-
group_2271,NDLJOBPC_02255,-
group_2272,NDLJOBPC_02256,-
group_2273,NDLJOBPC_02257,-
group_2274,NDLJOBPC_02267,+
group_2275,NDLJOBPC_02269,+
betI_6,NDLJOBPC_02271,+
group_2278,NDLJOBPC_02273,-
group_2279,NDLJOBPC_02278,-
group_228,NDLJOBPC_00462,-
afsR_1,NDLJOBPC_02283,-
group_2281,NDLJOBPC_02284,-
ydaF,NDLJOBPC_02287,+
group_2283,NDLJOBPC_02290,-
group_2284,NDLJOBPC_02294,-
group_2285,NDLJOBPC_02296,-
novJ_1,NDLJOBPC_02298,-
group_2287,NDLJOBPC_02299,+
group_2288,NDLJOBPC_02300,+
group_2289,NDLJOBPC_02304,+
catI,NDLJOBPC_00476,+
group_2290,NDLJOBPC_02305,+
lnrJ,NDLJOBPC_02306,-
rplY,NDLJOBPC_02313,+
group_2295,NDLJOBPC_02315,+
tam_5,NDLJOBPC_02320,-
galE_2,NDLJOBPC_02324,-
galT,NDLJOBPC_02325,-
group_2299,NDLJOBPC_02327,+
group_23,NDLJOBPC_03528,-
group_2300,NDLJOBPC_02329,-
group_2301,NDLJOBPC_02330,-
ispE,NDLJOBPC_02333,-
ksgA,NDLJOBPC_02334,-
tatD,NDLJOBPC_02335,-
nagJ,NDLJOBPC_02336,-
rsmI,NDLJOBPC_02338,-
mrdA_1,NDLJOBPC_02342,+
group_2308,NDLJOBPC_02344,-
group_2309,NDLJOBPC_02347,+
group_2310,NDLJOBPC_02350,+
ydfJ_2,NDLJOBPC_02351,-
tri1_1,NDLJOBPC_02353,+
group_2313,NDLJOBPC_02354,+
catD_2,NDLJOBPC_02356,-
group_2315,NDLJOBPC_02358,+
exoA,NDLJOBPC_02359,-
group_2317,NDLJOBPC_02360,+
group_2319,NDLJOBPC_02362,-
group_2320,NDLJOBPC_02364,+
liaR_2,NDLJOBPC_02365,+
group_2322,NDLJOBPC_02367,-
rimJ_2,NDLJOBPC_02373,-
group_2325,NDLJOBPC_02378,+
nhaP,NDLJOBPC_02380,+
group_2327,NDLJOBPC_02381,+
group_2329,NDLJOBPC_02389,+
group_233,NDLJOBPC_00495,-
efpA_2,NDLJOBPC_02394,-
group_2332,NDLJOBPC_02395,-
group_2333,NDLJOBPC_02397,+
group_2334,NDLJOBPC_02401,+
group_2335,NDLJOBPC_02402,+
paaK,NDLJOBPC_02403,-
group_2337,NDLJOBPC_02404,-
astD,NDLJOBPC_02405,+
crt,NDLJOBPC_02407,+
group_234,NDLJOBPC_00546,+
paaA_1,NDLJOBPC_02409,+
paaC_1,NDLJOBPC_02411,+
group_2342,NDLJOBPC_02416,-
group_2350,NDLJOBPC_02435,+
group_2351,NDLJOBPC_02436,-
map-1_1,NDLJOBPC_02437,+
group_2353,NDLJOBPC_02441,+
group_2354,NDLJOBPC_02442,+
group_2355,NDLJOBPC_02445,+
group_2357,NDLJOBPC_02448,+
group_2358,NDLJOBPC_02449,-
group_2359,NDLJOBPC_02453,-
group_2360,NDLJOBPC_02459,-
acyII,NDLJOBPC_02460,-
irtA,NDLJOBPC_02461,+
mfpA,NDLJOBPC_02466,-
group_2364,NDLJOBPC_02467,-
afsR_2,NDLJOBPC_02468,+
group_2366,NDLJOBPC_02469,+
group_2367,NDLJOBPC_02471,+
group_2368,NDLJOBPC_02472,-
group_2369,NDLJOBPC_02476,-
group_2370,NDLJOBPC_02479,-
cdhR_3,NDLJOBPC_02480,+
group_2372,NDLJOBPC_02481,-
group_2373,NDLJOBPC_02485,+
purU,NDLJOBPC_02486,-
group_2375,NDLJOBPC_02487,-
group_2376,NDLJOBPC_02488,+
group_2377,NDLJOBPC_02489,-
group_2378,NDLJOBPC_02491,+
group_2379,NDLJOBPC_02492,+
group_238,NDLJOBPC_00559,+
btuD_11,NDLJOBPC_02493,+
group_2381,NDLJOBPC_02494,+
group_2382,NDLJOBPC_02496,-
slmA,NDLJOBPC_02497,+
group_2384,NDLJOBPC_02498,-
group_2385,NDLJOBPC_02500,+
pdxH_2,NDLJOBPC_02502,-
citA,NDLJOBPC_02503,+
tap_5,NDLJOBPC_02504,-
cymR,NDLJOBPC_02505,-
ligC,NDLJOBPC_00590,+
rhtA_2,NDLJOBPC_02516,-
hcaR_3,NDLJOBPC_02517,+
group_2392,NDLJOBPC_02522,+
pksS,NDLJOBPC_02524,+
ncsB3_3,NDLJOBPC_02525,+
thadh,NDLJOBPC_02527,-
group_2396,NDLJOBPC_02528,-
drrA_1,NDLJOBPC_02529,-
group_2398,NDLJOBPC_02530,+
group_2399,NDLJOBPC_02531,-
group_2400,NDLJOBPC_02534,+
group_2401,NDLJOBPC_02535,+
group_2402,NDLJOBPC_02536,+
group_2403,NDLJOBPC_02537,+
group_2404,NDLJOBPC_02538,-
group_2405,NDLJOBPC_02540,+
group_2406,NDLJOBPC_02541,-
group_2407,NDLJOBPC_02542,+
group_2408,NDLJOBPC_02543,-
group_2409,NDLJOBPC_02544,-
group_241,NDLJOBPC_00601,+
group_2410,NDLJOBPC_02546,-
thpR,NDLJOBPC_02547,-
group_2412,NDLJOBPC_02550,+
group_2413,NDLJOBPC_02554,-
group_2414,NDLJOBPC_02556,-
group_2415,NDLJOBPC_02557,-
group_2416,NDLJOBPC_02558,+
mqnB,NDLJOBPC_02560,+
yfiY,NDLJOBPC_02569,-
fepC_4,NDLJOBPC_02570,-
yfhA_3,NDLJOBPC_02571,-
yfiZ_2,NDLJOBPC_02572,-
gph_5,NDLJOBPC_02573,+
group_2423,NDLJOBPC_02574,+
pikC_2,NDLJOBPC_02576,-
group_2425,NDLJOBPC_02581,-
group_2428,NDLJOBPC_02587,+
rutC,NDLJOBPC_00608,-
group_2430,NDLJOBPC_02593,-
cutC,NDLJOBPC_02603,-
group_2434,NDLJOBPC_02604,+
group_2436,NDLJOBPC_02614,-
gpmA_2,NDLJOBPC_02616,-
group_2438,NDLJOBPC_02624,-
otsA,NDLJOBPC_02632,+
group_244,NDLJOBPC_00635,-
group_2440,NDLJOBPC_02634,-
group_2442,NDLJOBPC_02638,-
group_2443,NDLJOBPC_02642,+
gbpA_2,NDLJOBPC_02643,+
lacC_2,NDLJOBPC_02644,+
group_2446,NDLJOBPC_02651,+
fdhA_2,NDLJOBPC_02652,+
group_2448,NDLJOBPC_02653,+
group_2449,NDLJOBPC_02654,-
group_2450,NDLJOBPC_02655,+
group_2454,NDLJOBPC_02658,+
group_2455,NDLJOBPC_02659,+
group_2456,NDLJOBPC_02660,-
group_2458,NDLJOBPC_02662,-
group_246,NDLJOBPC_00639,-
group_2460,NDLJOBPC_02673,+
wbiB,NDLJOBPC_02677,-
group_2462,NDLJOBPC_02679,+
group_2463,NDLJOBPC_02680,+
group_2464,NDLJOBPC_02681,+
group_2465,NDLJOBPC_02685,+
group_2466,NDLJOBPC_02687,+
group_2468,NDLJOBPC_02702,-
group_2469,NDLJOBPC_02710,-
group_2470,NDLJOBPC_02712,-
eryA,NDLJOBPC_02714,-
group_2472,NDLJOBPC_02719,+
fprB,NDLJOBPC_02721,+
thiI,NDLJOBPC_02722,+
group_2475,NDLJOBPC_02729,-
group_2476,NDLJOBPC_02730,-
group_2477,NDLJOBPC_02731,-
group_2478,NDLJOBPC_02732,-
group_2479,NDLJOBPC_02733,-
bltD,NDLJOBPC_02734,+
group_2481,NDLJOBPC_02736,+
rfbF,NDLJOBPC_02761,+
group_2493,NDLJOBPC_02762,+
cysS,NDLJOBPC_02766,-
dppE_1,NDLJOBPC_02770,-
group_2497,NDLJOBPC_02771,-
ispF,NDLJOBPC_02773,-
sasA_6,NDLJOBPC_02778,-
alsT,NDLJOBPC_00659,-
group_2500,NDLJOBPC_02783,-
group_2501,NDLJOBPC_02801,+
group_2502,NDLJOBPC_02805,+
group_2503,NDLJOBPC_02806,-
group_2504,NDLJOBPC_02808,-
group_2505,NDLJOBPC_02809,-
ufaA1,NDLJOBPC_02810,-
group_2507,NDLJOBPC_02812,-
yfcD_1,NDLJOBPC_02813,-
group_2509,NDLJOBPC_02814,+
fecE_2,NDLJOBPC_02818,-
btuF_2,NDLJOBPC_02820,-
iclR_2,NDLJOBPC_02821,+
group_2513,NDLJOBPC_02823,-
group_2514,NDLJOBPC_02824,-
group_2515,NDLJOBPC_02825,+
ndh,NDLJOBPC_02835,-
group_2518,NDLJOBPC_02836,+
group_2519,NDLJOBPC_02837,+
group_252,NDLJOBPC_00692,+
group_2520,NDLJOBPC_02838,-
group_2522,NDLJOBPC_02842,+
cobB_2,NDLJOBPC_02843,-
group_2524,NDLJOBPC_02844,+
ppiA,NDLJOBPC_02845,+
lcfB_1,NDLJOBPC_02854,+
group_253,NDLJOBPC_00747,-
accD3,NDLJOBPC_02855,+
group_2531,NDLJOBPC_02856,-
group_2532,NDLJOBPC_02857,+
group_2533,NDLJOBPC_02858,-
group_2534,NDLJOBPC_02859,+
hpr,NDLJOBPC_02861,+
group_2536,NDLJOBPC_02864,+
group_2537,NDLJOBPC_02866,-
group_2539,NDLJOBPC_02872,-
ggt,NDLJOBPC_00755,-
group_2540,NDLJOBPC_02880,+
group_2541,NDLJOBPC_02882,+
caeA_2,NDLJOBPC_02886,-
tmk,NDLJOBPC_02888,-
group_2550,NDLJOBPC_02890,-
prmC_3,NDLJOBPC_02891,-
group_2552,NDLJOBPC_02900,-
group_2553,NDLJOBPC_02902,-
group_2554,NDLJOBPC_02903,+
group_2555,NDLJOBPC_02904,-
group_2556,NDLJOBPC_02907,+
acsA_2,NDLJOBPC_02908,+
nhaA,NDLJOBPC_02909,+
group_2559,NDLJOBPC_02910,+
group_256,NDLJOBPC_00791,+
group_2560,NDLJOBPC_02918,-
group_2561,NDLJOBPC_02926,+
group_2563,NDLJOBPC_02937,+
group_2564,NDLJOBPC_02940,-
group_2565,NDLJOBPC_02941,-
ephB,NDLJOBPC_02942,-
pknD_3,NDLJOBPC_02943,+
group_2568,NDLJOBPC_02948,+
group_2569,NDLJOBPC_02949,-
group_257,NDLJOBPC_00792,-
group_2570,NDLJOBPC_02953,-
group_2571,NDLJOBPC_02959,-
group_2572,NDLJOBPC_02964,-
group_2573,NDLJOBPC_02965,-
group_2574,NDLJOBPC_02967,+
group_2575,NDLJOBPC_02970,-
group_2576,NDLJOBPC_02971,-
liaR_6,NDLJOBPC_02973,+
group_2578,NDLJOBPC_02978,+
nreC_4,NDLJOBPC_00794,+
group_2581,NDLJOBPC_02996,-
group_2582,NDLJOBPC_02999,-
group_2583,NDLJOBPC_03000,+
group_2584,NDLJOBPC_03001,+
group_2585,NDLJOBPC_03003,+
lhgD,NDLJOBPC_03004,+
group_2587,NDLJOBPC_03006,+
group_2588,NDLJOBPC_03008,-
group_2589,NDLJOBPC_03009,-
group_2590,NDLJOBPC_03011,-
clpC,NDLJOBPC_03013,+
group_2592,NDLJOBPC_03014,+
deaD_3,NDLJOBPC_03019,-
purF,NDLJOBPC_03033,-
group_2596,NDLJOBPC_03034,-
lsr2_1,NDLJOBPC_03038,+
btuD_13,NDLJOBPC_03040,+
group_2599,NDLJOBPC_03041,+
group_26,NDLJOBPC_02664,-
group_260,NDLJOBPC_00814,-
desR_1,NDLJOBPC_03043,+
purC,NDLJOBPC_03045,-
group_2602,NDLJOBPC_03060,-
group_2603,NDLJOBPC_03063,-
group_2604,NDLJOBPC_03064,-
fabG_2,NDLJOBPC_03066,+
group_2606,NDLJOBPC_03067,+
group_2607,NDLJOBPC_03072,+
group_2608,NDLJOBPC_03073,+
tadA_2,NDLJOBPC_03074,+
ccpA_3,NDLJOBPC_00846,+
group_2610,NDLJOBPC_03085,-
qacA_3,NDLJOBPC_03086,-
group_2612,NDLJOBPC_03087,+
sti,NDLJOBPC_03094,+
group_2615,NDLJOBPC_03098,-
group_2616,NDLJOBPC_03099,-
group_2617,NDLJOBPC_03104,+
group_2618,NDLJOBPC_03105,-
group_2619,NDLJOBPC_03106,+
group_2620,NDLJOBPC_03108,-
group_2621,NDLJOBPC_03112,+
group_2622,NDLJOBPC_03113,+
serS,NDLJOBPC_03116,+
btuD_14,NDLJOBPC_03121,-
ephD,NDLJOBPC_03122,+
group_2626,NDLJOBPC_03123,+
fgd_4,NDLJOBPC_03124,-
group_2628,NDLJOBPC_03126,-
dosT,NDLJOBPC_03127,-
group_263,NDLJOBPC_00852,-
btuD_15,NDLJOBPC_03128,-
pat,NDLJOBPC_03131,-
ssgB_3,NDLJOBPC_03137,-
group_2633,NDLJOBPC_03138,-
mccB,NDLJOBPC_03142,+
group_2635,NDLJOBPC_03144,+
dap_2,NDLJOBPC_03148,-
group_264,NDLJOBPC_00872,-
group_2643,NDLJOBPC_03161,-
mtgA_3,NDLJOBPC_03162,-
group_2645,NDLJOBPC_03165,+
group_2646,NDLJOBPC_03166,+
trxA,NDLJOBPC_03174,+
parB,NDLJOBPC_03176,-
rsmG,NDLJOBPC_03178,-
group_265,NDLJOBPC_00895,-
group_2650,NDLJOBPC_03187,+
group_2651,NDLJOBPC_03190,+
group_2652,NDLJOBPC_03195,+
group_2653,NDLJOBPC_03196,+
betI_7,NDLJOBPC_03204,-
cypB,NDLJOBPC_03207,+
trpG,NDLJOBPC_03212,+
pbpA_2,NDLJOBPC_03216,-
azoR,NDLJOBPC_03222,-
group_2659,NDLJOBPC_03223,+
group_2660,NDLJOBPC_03224,+
group_2661,NDLJOBPC_03228,+
group_2662,NDLJOBPC_03229,+
group_2663,NDLJOBPC_03231,+
pdhC,NDLJOBPC_03235,+
group_2665,NDLJOBPC_03237,+
qorA_1,NDLJOBPC_03239,+
group_2667,NDLJOBPC_03240,+
bpa,NDLJOBPC_03242,+
devR_2,NDLJOBPC_03245,-
group_2670,NDLJOBPC_03246,+
group_2671,NDLJOBPC_03253,+
group_2672,NDLJOBPC_03254,-
group_2673,NDLJOBPC_03259,-
group_2674,NDLJOBPC_03263,+
group_2675,NDLJOBPC_03267,+
group_2676,NDLJOBPC_03268,-
group_2677,NDLJOBPC_03270,-
modA,NDLJOBPC_03276,+
tagU_6,NDLJOBPC_03279,+
group_268,NDLJOBPC_00908,+
group_2680,NDLJOBPC_03280,-
adh,NDLJOBPC_03284,-
group_2682,NDLJOBPC_03285,-
group_2683,NDLJOBPC_03287,+
group_2684,NDLJOBPC_03288,+
