Gene,albidoflavus_J1074,Sign
group_191,CDKDDEHB_04627,+
group_1910,CDKDDEHB_01057,-
group_1911,CDKDDEHB_01058,+
iucC_1,CDKDDEHB_01064,-
iucB,CDKDDEHB_01065,-
iucA,CDKDDEHB_01066,-
dat_1,CDKDDEHB_01067,-
group_1916,CDKDDEHB_01069,+
group_1917,CDKDDEHB_01071,-
dapF,CDKDDEHB_01073,-
miaA,CDKDDEHB_01075,-
group_1920,CDKDDEHB_01076,+
group_1921,CDKDDEHB_01077,-
group_1922,CDKDDEHB_01078,-
group_1923,CDKDDEHB_01080,+
sasA_2,CDKDDEHB_01081,-
glnH_2,CDKDDEHB_01084,+
group_1926,CDKDDEHB_01086,+
group_1927,CDKDDEHB_01088,+
recX,CDKDDEHB_01090,-
group_1929,CDKDDEHB_01092,-
group_193,CDKDDEHB_04716,+
hdfR_2,CDKDDEHB_01093,+
group_1931,CDKDDEHB_01094,+
dhmA,CDKDDEHB_01102,-
group_1933,CDKDDEHB_01103,+
nei,CDKDDEHB_01106,+
group_1935,CDKDDEHB_01107,-
cinA,CDKDDEHB_01110,-
group_1937,CDKDDEHB_01114,-
arnB,CDKDDEHB_01119,-
thyX,CDKDDEHB_01125,-
group_1940,CDKDDEHB_01126,+
ribF,CDKDDEHB_01141,-
rimP,CDKDDEHB_01149,-
group_1943,CDKDDEHB_01151,+
group_1944,CDKDDEHB_01152,+
group_1945,CDKDDEHB_01154,-
sgrR_1,CDKDDEHB_01159,-
group_1947,CDKDDEHB_01160,-
nanK_3,CDKDDEHB_01165,-
group_1949,CDKDDEHB_01167,-
group_195,CDKDDEHB_04748,+
group_1950,CDKDDEHB_01168,-
group_1951,CDKDDEHB_01170,+
group_1952,CDKDDEHB_01172,-
potA_1,CDKDDEHB_01176,-
group_1954,CDKDDEHB_01179,+
spuE,CDKDDEHB_01183,-
ytrE_2,CDKDDEHB_01188,+
group_1957,CDKDDEHB_01189,+
group_1958,CDKDDEHB_01190,+
group_1959,CDKDDEHB_01191,-
potA_2,CDKDDEHB_01192,-
thiB,CDKDDEHB_01194,-
group_1963,CDKDDEHB_01202,-
dprA,CDKDDEHB_01204,-
group_1965,CDKDDEHB_01209,-
group_1966,CDKDDEHB_01210,-
lepB,CDKDDEHB_01212,-
rimM,CDKDDEHB_01215,-
smc,CDKDDEHB_01229,-
TDO2_2,CDKDDEHB_05888,-
group_1970,CDKDDEHB_01232,+
group_1971,CDKDDEHB_01237,-
group_1972,CDKDDEHB_01246,+
group_1973,CDKDDEHB_01249,-
fbiD_1,CDKDDEHB_01250,+
group_1975,CDKDDEHB_01251,+
group_1976,CDKDDEHB_01257,-
group_1977,CDKDDEHB_01258,+
gph_2,CDKDDEHB_01264,-
gltX,CDKDDEHB_01265,-
group_1980,CDKDDEHB_01268,-
group_1981,CDKDDEHB_01269,+
group_1982,CDKDDEHB_01270,+
group_1983,CDKDDEHB_01275,+
group_1984,CDKDDEHB_01280,+
group_1985,CDKDDEHB_01281,+
group_1986,CDKDDEHB_01289,-
group_1987,CDKDDEHB_01294,+
cyc2,CDKDDEHB_01297,+
group_1989,CDKDDEHB_01298,-
ureA_1,CDKDDEHB_01303,-
group_1992,CDKDDEHB_01306,-
group_1993,CDKDDEHB_01307,+
group_1994,CDKDDEHB_01308,+
group_1995,CDKDDEHB_01309,+
group_1996,CDKDDEHB_01313,+
prmC_1,CDKDDEHB_01317,+
ilvC,CDKDDEHB_01319,-
group_1999,CDKDDEHB_01323,-
group_200,CDKDDEHB_02860,-
group_2000,CDKDDEHB_01329,-
group_2001,CDKDDEHB_01330,-
group_2002,CDKDDEHB_01331,+
ydfJ_1,CDKDDEHB_01333,-
yvdD,CDKDDEHB_01342,-
group_2005,CDKDDEHB_01343,+
group_2006,CDKDDEHB_01344,+
group_2007,CDKDDEHB_01348,-
group_2008,CDKDDEHB_01350,-
btuD_6,CDKDDEHB_01351,-
gsiD_4,CDKDDEHB_01353,-
dppA_3,CDKDDEHB_01355,-
group_2012,CDKDDEHB_01356,-
group_2013,CDKDDEHB_01358,-
gcvT_1,CDKDDEHB_01359,+
gcvH_1,CDKDDEHB_01360,+
group_2016,CDKDDEHB_01363,-
group_2017,CDKDDEHB_01364,+
kdpA,CDKDDEHB_01365,+
kdpB_3,CDKDDEHB_01366,+
kdpE_2,CDKDDEHB_01368,+
oxd,CDKDDEHB_01371,+
leuO,CDKDDEHB_01372,+
group_2023,CDKDDEHB_01373,+
group_2024,CDKDDEHB_01374,+
group_2025,CDKDDEHB_01378,-
group_2026,CDKDDEHB_01380,-
group_2027,CDKDDEHB_01381,-
echA8_2,CDKDDEHB_01382,-
ldtB_2,CDKDDEHB_01384,-
glgX_2,CDKDDEHB_01385,+
group_2031,CDKDDEHB_01386,-
lnrL_2,CDKDDEHB_01387,-
group_2033,CDKDDEHB_01388,+
group_2034,CDKDDEHB_01389,+
group_2036,CDKDDEHB_01392,+
pstI,CDKDDEHB_01394,+
glgB,CDKDDEHB_01398,+
group_2039,CDKDDEHB_01400,-
dltA_7,CDKDDEHB_05903,-
ackA,CDKDDEHB_01410,+
group_2041,CDKDDEHB_01412,-
group_2042,CDKDDEHB_01413,-
group_2043,CDKDDEHB_01416,+
group_2044,CDKDDEHB_01420,-
cenA,CDKDDEHB_01421,+
group_2046,CDKDDEHB_01422,-
group_2047,CDKDDEHB_01423,-
group_2048,CDKDDEHB_01427,-
group_2049,CDKDDEHB_01428,+
group_2050,CDKDDEHB_01430,+
group_2051,CDKDDEHB_01431,+
group_2052,CDKDDEHB_01432,+
group_2053,CDKDDEHB_01433,+
sasA_3,CDKDDEHB_01434,-
group_2055,CDKDDEHB_01437,+
bcrA_1,CDKDDEHB_01443,+
group_2057,CDKDDEHB_01444,+
bcrA_2,CDKDDEHB_01445,+
group_2059,CDKDDEHB_01446,+
group_2060,CDKDDEHB_01456,+
degU_1,CDKDDEHB_01457,+
chtA_1,CDKDDEHB_01458,+
atpE,CDKDDEHB_01467,-
tagU_1,CDKDDEHB_01476,-
hom,CDKDDEHB_01480,-
group_2066,CDKDDEHB_01482,-
mprA_1,CDKDDEHB_01483,-
group_2069,CDKDDEHB_01486,+
cpdA_1,CDKDDEHB_00034,+
group_2070,CDKDDEHB_01488,-
group_2071,CDKDDEHB_01490,+
group_2072,CDKDDEHB_01491,+
ku,CDKDDEHB_01493,-
ligD_1,CDKDDEHB_01494,+
rodA_1,CDKDDEHB_01496,+
pbpA_1,CDKDDEHB_01497,+
group_2077,CDKDDEHB_01499,-
group_2078,CDKDDEHB_01501,+
group_2079,CDKDDEHB_01503,-
group_2080,CDKDDEHB_01508,-
group_2081,CDKDDEHB_01509,+
acm_2,CDKDDEHB_01511,+
group_2083,CDKDDEHB_01512,+
qacA_2,CDKDDEHB_01514,+
group_2085,CDKDDEHB_01515,+
sigE_1,CDKDDEHB_01517,+
yxlF_1,CDKDDEHB_01519,+
group_2088,CDKDDEHB_01522,+
baeS,CDKDDEHB_01524,+
group_209,CDKDDEHB_00061,-
chuR,CDKDDEHB_01528,-
group_2091,CDKDDEHB_01535,-
group_2092,CDKDDEHB_01536,+
group_2093,CDKDDEHB_01546,-
ytrA_2,CDKDDEHB_01550,-
group_2095,CDKDDEHB_01551,-
group_2096,CDKDDEHB_01552,+
group_2097,CDKDDEHB_01553,-
dcyD,CDKDDEHB_01561,+
group_2099,CDKDDEHB_01563,+
group_21,CDKDDEHB_01826,+
dasB_1,CDKDDEHB_01574,-
cstA,CDKDDEHB_01577,+
group_2102,CDKDDEHB_01578,+
cyc1,CDKDDEHB_01582,-
group_2104,CDKDDEHB_01589,+
group_2105,CDKDDEHB_01593,-
furA,CDKDDEHB_01596,+
group_2107,CDKDDEHB_01603,-
group_2108,CDKDDEHB_01605,-
group_2109,CDKDDEHB_01611,-
group_211,CDKDDEHB_00075,+
uvrD2,CDKDDEHB_01617,-
caeA_1,CDKDDEHB_01625,+
group_2112,CDKDDEHB_01628,-
group_2113,CDKDDEHB_01641,-
group_2114,CDKDDEHB_01642,+
yciV,CDKDDEHB_01644,-
yfmO,CDKDDEHB_01645,+
group_2117,CDKDDEHB_01649,+
group_2118,CDKDDEHB_01650,-
group_2119,CDKDDEHB_01657,-
pgl_1,CDKDDEHB_00113,-
sigE_2,CDKDDEHB_01658,-
trmR,CDKDDEHB_01659,+
tag,CDKDDEHB_01663,-
group_2123,CDKDDEHB_01664,-
nat_1,CDKDDEHB_01666,+
group_2125,CDKDDEHB_01667,-
group_2126,CDKDDEHB_01668,+
group_2127,CDKDDEHB_01671,+
group_2128,CDKDDEHB_01673,+
group_2129,CDKDDEHB_01676,+
mro,CDKDDEHB_01678,-
yjfF,CDKDDEHB_01680,-
rbsC_4,CDKDDEHB_01681,-
araG_2,CDKDDEHB_01682,-
purR_2,CDKDDEHB_01683,-
group_2135,CDKDDEHB_01685,-
group_2136,CDKDDEHB_01687,-
mshB_1,CDKDDEHB_01688,-
dap4,CDKDDEHB_01690,+
group_2139,CDKDDEHB_01691,-
group_214,CDKDDEHB_00119,-
oppC,CDKDDEHB_01700,-
dppB_4,CDKDDEHB_01701,-
group_2142,CDKDDEHB_01705,-
group_2143,CDKDDEHB_01706,+
group_2144,CDKDDEHB_01707,-
group_2145,CDKDDEHB_01708,-
group_2146,CDKDDEHB_01710,-
group_2147,CDKDDEHB_01713,-
group_2148,CDKDDEHB_01714,+
group_2150,CDKDDEHB_01717,+
group_2151,CDKDDEHB_01719,+
group_2152,CDKDDEHB_01722,-
group_2153,CDKDDEHB_01723,+
group_2154,CDKDDEHB_01724,-
aam_1,CDKDDEHB_01730,+
fliY,CDKDDEHB_01732,+
glnQ_3,CDKDDEHB_01735,+
group_2158,CDKDDEHB_01736,+
cdhR_1,CDKDDEHB_01737,-
group_2160,CDKDDEHB_01738,+
group_2161,CDKDDEHB_01739,-
group_2162,CDKDDEHB_01742,-
group_2163,CDKDDEHB_01746,+
group_2164,CDKDDEHB_01748,-
group_2165,CDKDDEHB_01753,-
yidC_1,CDKDDEHB_01754,-
moaE1,CDKDDEHB_01604,-
group_2172,CDKDDEHB_01767,-
group_2173,CDKDDEHB_01769,-
group_2174,CDKDDEHB_01770,-
mtgA_1,CDKDDEHB_01771,+
group_2176,CDKDDEHB_01774,-
bcp,CDKDDEHB_01775,+
group_2178,CDKDDEHB_01779,-
cysM,CDKDDEHB_01785,-
cysO_1,CDKDDEHB_01786,-
group_2181,CDKDDEHB_01789,-
pncA,CDKDDEHB_01793,+
group_2184,CDKDDEHB_01797,-
hpd,CDKDDEHB_01802,-
opuCA_1,CDKDDEHB_01805,+
group_2187,CDKDDEHB_01806,+
osmX_1,CDKDDEHB_01807,+
group_2189,CDKDDEHB_01808,+
fdhD_2,CDKDDEHB_00397,+
tap_3,CDKDDEHB_01810,+
group_2192,CDKDDEHB_01812,-
group_2195,CDKDDEHB_01829,+
group_2196,CDKDDEHB_01833,-
dasB_2,CDKDDEHB_01840,-
group_2198,CDKDDEHB_01842,-
group_2199,CDKDDEHB_01843,-
group_22,CDKDDEHB_02644,+
zwf1,CDKDDEHB_00139,+
group_2200,CDKDDEHB_01849,+
group_2201,CDKDDEHB_01850,-
group_2203,CDKDDEHB_01853,-
group_2204,CDKDDEHB_01855,-
ctpA_1,CDKDDEHB_01860,-
prfB,CDKDDEHB_01865,-
group_2207,CDKDDEHB_01868,+
group_2208,CDKDDEHB_01871,+
tagF,CDKDDEHB_01873,+
gtfA,CDKDDEHB_01874,-
group_2211,CDKDDEHB_01875,-
group_2212,CDKDDEHB_01878,-
gph_3,CDKDDEHB_01882,-
group_2214,CDKDDEHB_01883,-
group_2215,CDKDDEHB_01884,+
hcaR_2,CDKDDEHB_01885,-
group_2217,CDKDDEHB_01888,+
group_2218,CDKDDEHB_01891,+
hpf,CDKDDEHB_01893,-
group_222,CDKDDEHB_00141,-
group_2220,CDKDDEHB_01894,-
sasA_4,CDKDDEHB_01896,-
group_2222,CDKDDEHB_01899,+
group_2223,CDKDDEHB_01902,+
manA,CDKDDEHB_01912,-
group_2225,CDKDDEHB_01915,+
group_2226,CDKDDEHB_01922,-
group_2227,CDKDDEHB_01927,-
group_2228,CDKDDEHB_01930,+
tagU_2,CDKDDEHB_01931,+
group_2230,CDKDDEHB_01932,+
lcpB_1,CDKDDEHB_01936,+
group_2236,CDKDDEHB_01945,-
group_2239,CDKDDEHB_01953,-
group_2240,CDKDDEHB_01955,-
group_2241,CDKDDEHB_01956,-
group_2242,CDKDDEHB_01957,+
group_2243,CDKDDEHB_01958,-
group_2244,CDKDDEHB_01959,+
purE,CDKDDEHB_01961,-
group_2246,CDKDDEHB_01963,+
group_2247,CDKDDEHB_01967,-
hutI_1,CDKDDEHB_01970,-
lysA_2,CDKDDEHB_01973,+
group_225,CDKDDEHB_00174,+
yhdG_3,CDKDDEHB_01974,+
group_2251,CDKDDEHB_01975,-
group_2252,CDKDDEHB_01978,-
purR_3,CDKDDEHB_01979,+
group_2254,CDKDDEHB_01980,+
group_2255,CDKDDEHB_01981,+
group_2256,CDKDDEHB_01982,+
group_2257,CDKDDEHB_01983,+
group_2258,CDKDDEHB_01985,-
group_2259,CDKDDEHB_01988,+
group_2260,CDKDDEHB_01992,-
group_2261,CDKDDEHB_01993,-
group_2262,CDKDDEHB_01994,-
lnrL_3,CDKDDEHB_01995,-
group_2264,CDKDDEHB_01996,+
group_2265,CDKDDEHB_01999,+
group_2266,CDKDDEHB_02001,-
ppx2,CDKDDEHB_02004,-
group_2268,CDKDDEHB_02005,-
group_2269,CDKDDEHB_02008,-
group_2271,CDKDDEHB_02010,-
group_2272,CDKDDEHB_02011,-
group_2273,CDKDDEHB_02012,-
group_2274,CDKDDEHB_02022,+
group_2275,CDKDDEHB_02024,+
betI_6,CDKDDEHB_02026,+
group_2278,CDKDDEHB_02028,-
group_2279,CDKDDEHB_02034,-
group_228,CDKDDEHB_00203,-
afsR_1,CDKDDEHB_02039,-
group_2281,CDKDDEHB_02040,-
ydaF,CDKDDEHB_02043,+
group_2283,CDKDDEHB_02046,-
group_2284,CDKDDEHB_02048,-
group_2285,CDKDDEHB_02050,-
novJ_1,CDKDDEHB_02052,-
group_2287,CDKDDEHB_02053,+
group_2288,CDKDDEHB_02054,+
group_2289,CDKDDEHB_02058,+
catI,CDKDDEHB_00217,+
group_2290,CDKDDEHB_02059,+
lnrJ,CDKDDEHB_02060,-
rplY,CDKDDEHB_02068,+
group_2295,CDKDDEHB_02070,+
tam_5,CDKDDEHB_02075,-
galE_2,CDKDDEHB_02079,-
galT,CDKDDEHB_02080,-
group_2299,CDKDDEHB_02082,+
group_23,CDKDDEHB_03348,-
group_2300,CDKDDEHB_02084,-
group_2301,CDKDDEHB_02085,-
ispE,CDKDDEHB_02088,-
ksgA,CDKDDEHB_02089,-
tatD,CDKDDEHB_02090,-
nagJ,CDKDDEHB_02091,-
rsmI,CDKDDEHB_02093,-
mrdA_1,CDKDDEHB_02100,+
group_2308,CDKDDEHB_02102,-
group_2309,CDKDDEHB_02105,+
group_2310,CDKDDEHB_02107,+
ydfJ_2,CDKDDEHB_02108,-
tri1_1,CDKDDEHB_02110,+
group_2313,CDKDDEHB_02111,+
catD_2,CDKDDEHB_02113,-
group_2315,CDKDDEHB_02115,+
exoA,CDKDDEHB_02116,-
group_2317,CDKDDEHB_02117,+
group_2319,CDKDDEHB_02119,-
group_2320,CDKDDEHB_02121,+
liaR_2,CDKDDEHB_02122,+
group_2322,CDKDDEHB_02124,-
rimJ_2,CDKDDEHB_02129,-
group_2325,CDKDDEHB_02134,+
nhaP,CDKDDEHB_02136,+
group_2327,CDKDDEHB_02137,+
group_2329,CDKDDEHB_02145,+
group_233,CDKDDEHB_00236,-
efpA_2,CDKDDEHB_02150,-
group_2332,CDKDDEHB_02151,-
group_2333,CDKDDEHB_02153,+
group_2334,CDKDDEHB_02157,+
group_2335,CDKDDEHB_02158,+
paaK,CDKDDEHB_02159,-
group_2337,CDKDDEHB_02160,-
astD,CDKDDEHB_02161,+
crt,CDKDDEHB_02163,+
group_234,CDKDDEHB_00288,+
paaA_1,CDKDDEHB_02165,+
paaC_1,CDKDDEHB_02167,+
group_2342,CDKDDEHB_02172,-
group_2350,CDKDDEHB_02203,+
group_2351,CDKDDEHB_02204,-
map-1_1,CDKDDEHB_02205,+
group_2353,CDKDDEHB_02209,+
group_2354,CDKDDEHB_02210,+
group_2355,CDKDDEHB_02213,+
group_2357,CDKDDEHB_02216,+
group_2358,CDKDDEHB_02217,-
group_2359,CDKDDEHB_02220,-
group_2360,CDKDDEHB_02226,-
acyII,CDKDDEHB_02227,-
irtA,CDKDDEHB_02228,+
mfpA,CDKDDEHB_02231,-
group_2364,CDKDDEHB_02232,-
afsR_2,CDKDDEHB_02233,+
group_2366,CDKDDEHB_02234,+
group_2367,CDKDDEHB_02236,+
group_2368,CDKDDEHB_02237,-
group_2369,CDKDDEHB_02241,-
group_2370,CDKDDEHB_02246,-
cdhR_3,CDKDDEHB_02247,+
group_2372,CDKDDEHB_02248,-
group_2373,CDKDDEHB_02253,+
purU,CDKDDEHB_02254,-
group_2375,CDKDDEHB_02255,-
group_2376,CDKDDEHB_02256,+
group_2377,CDKDDEHB_02257,-
group_2378,CDKDDEHB_02259,+
group_2379,CDKDDEHB_02260,+
group_238,CDKDDEHB_00301,+
btuD_11,CDKDDEHB_02261,+
group_2381,CDKDDEHB_02262,+
group_2382,CDKDDEHB_02263,-
slmA,CDKDDEHB_02264,+
group_2384,CDKDDEHB_02265,-
group_2385,CDKDDEHB_02267,+
pdxH_2,CDKDDEHB_02269,-
citA,CDKDDEHB_02270,+
tap_5,CDKDDEHB_02271,-
cymR,CDKDDEHB_02272,-
ligC,CDKDDEHB_00332,+
rhtA_2,CDKDDEHB_02282,-
hcaR_3,CDKDDEHB_02283,+
group_2392,CDKDDEHB_02288,+
pksS,CDKDDEHB_02290,+
ncsB3_3,CDKDDEHB_02291,+
thadh,CDKDDEHB_02293,-
group_2396,CDKDDEHB_02294,-
drrA_1,CDKDDEHB_02295,-
group_2398,CDKDDEHB_02296,+
group_2399,CDKDDEHB_02297,-
group_2400,CDKDDEHB_02300,+
group_2401,CDKDDEHB_02301,+
group_2402,CDKDDEHB_02302,+
group_2403,CDKDDEHB_02303,+
group_2404,CDKDDEHB_02304,-
group_2405,CDKDDEHB_02306,+
group_2406,CDKDDEHB_02307,-
group_2407,CDKDDEHB_02308,+
group_2408,CDKDDEHB_02309,-
group_2409,CDKDDEHB_02310,-
group_241,CDKDDEHB_00343,+
group_2410,CDKDDEHB_02312,-
thpR,CDKDDEHB_02313,-
group_2412,CDKDDEHB_02316,+
group_2413,CDKDDEHB_02320,-
group_2414,CDKDDEHB_02322,-
group_2415,CDKDDEHB_02323,-
group_2416,CDKDDEHB_02324,+
mqnB,CDKDDEHB_02326,+
yfiY,CDKDDEHB_02335,-
fepC_4,CDKDDEHB_02336,-
yfhA_3,CDKDDEHB_02337,-
yfiZ_2,CDKDDEHB_02338,-
gph_5,CDKDDEHB_02339,+
group_2423,CDKDDEHB_02340,+
pikC_2,CDKDDEHB_02342,-
group_2425,CDKDDEHB_02347,-
group_2428,CDKDDEHB_02355,+
rutC,CDKDDEHB_00350,-
group_2430,CDKDDEHB_02361,-
cutC,CDKDDEHB_02370,-
group_2434,CDKDDEHB_02371,+
group_2436,CDKDDEHB_02381,-
gpmA_2,CDKDDEHB_02383,-
group_2438,CDKDDEHB_02392,-
otsA,CDKDDEHB_02400,+
group_244,CDKDDEHB_00376,-
group_2440,CDKDDEHB_02402,-
group_2442,CDKDDEHB_02406,-
group_2443,CDKDDEHB_02410,+
gbpA_2,CDKDDEHB_02411,+
lacC_2,CDKDDEHB_02412,+
group_2446,CDKDDEHB_02419,+
fdhA_2,CDKDDEHB_02420,+
group_2448,CDKDDEHB_02421,+
group_2449,CDKDDEHB_02422,-
group_2450,CDKDDEHB_02423,+
group_2454,CDKDDEHB_02429,+
group_2455,CDKDDEHB_02430,+
group_2456,CDKDDEHB_02431,-
group_2458,CDKDDEHB_02433,-
group_246,CDKDDEHB_00380,-
group_2460,CDKDDEHB_02444,+
wbiB,CDKDDEHB_02448,-
group_2462,CDKDDEHB_02450,+
group_2463,CDKDDEHB_02451,+
group_2464,CDKDDEHB_02452,+
group_2465,CDKDDEHB_02456,+
group_2466,CDKDDEHB_02458,+
group_2468,CDKDDEHB_02472,-
group_2469,CDKDDEHB_02480,-
group_2470,CDKDDEHB_02482,-
eryA,CDKDDEHB_02484,-
group_2472,CDKDDEHB_02489,+
fprB,CDKDDEHB_02491,+
thiI,CDKDDEHB_02492,+
group_2475,CDKDDEHB_02501,-
group_2476,CDKDDEHB_02502,-
group_2477,CDKDDEHB_02503,-
group_2478,CDKDDEHB_02504,-
group_2479,CDKDDEHB_02505,-
bltD,CDKDDEHB_02506,+
group_2481,CDKDDEHB_02508,+
rfbF,CDKDDEHB_02555,+
group_2493,CDKDDEHB_02556,+
cysS,CDKDDEHB_02560,-
dppE_1,CDKDDEHB_02564,-
group_2497,CDKDDEHB_02565,-
ispF,CDKDDEHB_02567,-
sasA_6,CDKDDEHB_02572,-
alsT,CDKDDEHB_00400,-
group_2500,CDKDDEHB_02577,-
group_2501,CDKDDEHB_02595,+
group_2502,CDKDDEHB_02599,+
group_2503,CDKDDEHB_02600,-
group_2504,CDKDDEHB_02602,-
group_2505,CDKDDEHB_02603,-
ufaA1,CDKDDEHB_02604,-
group_2507,CDKDDEHB_02606,-
yfcD_1,CDKDDEHB_02607,-
group_2509,CDKDDEHB_02608,+
fecE_2,CDKDDEHB_02612,-
btuF_2,CDKDDEHB_02614,-
iclR_2,CDKDDEHB_02615,+
group_2513,CDKDDEHB_02617,-
group_2514,CDKDDEHB_02618,-
group_2515,CDKDDEHB_02619,+
ndh,CDKDDEHB_02629,-
group_2518,CDKDDEHB_02630,+
group_2519,CDKDDEHB_02631,+
group_252,CDKDDEHB_00430,+
group_2520,CDKDDEHB_02632,-
group_2522,CDKDDEHB_02636,+
cobB_2,CDKDDEHB_02637,-
group_2524,CDKDDEHB_02638,+
ppiA,CDKDDEHB_02639,+
lcfB_1,CDKDDEHB_02648,+
group_253,CDKDDEHB_00481,-
accD3,CDKDDEHB_02649,+
group_2531,CDKDDEHB_02650,-
group_2532,CDKDDEHB_02651,+
group_2533,CDKDDEHB_02652,-
group_2534,CDKDDEHB_02653,+
hpr,CDKDDEHB_02655,+
group_2536,CDKDDEHB_02658,+
group_2537,CDKDDEHB_02660,-
group_2539,CDKDDEHB_02666,-
ggt,CDKDDEHB_00489,-
group_2540,CDKDDEHB_02674,+
group_2541,CDKDDEHB_02676,+
caeA_2,CDKDDEHB_02698,-
tmk,CDKDDEHB_02700,-
group_2550,CDKDDEHB_02702,-
prmC_3,CDKDDEHB_02703,-
group_2552,CDKDDEHB_02712,-
group_2553,CDKDDEHB_02714,-
group_2554,CDKDDEHB_02715,+
group_2555,CDKDDEHB_02716,-
group_2556,CDKDDEHB_02719,+
acsA_2,CDKDDEHB_02720,+
nhaA,CDKDDEHB_02721,+
group_2559,CDKDDEHB_02722,+
group_256,CDKDDEHB_00525,+
group_2560,CDKDDEHB_02730,-
group_2561,CDKDDEHB_02738,+
group_2563,CDKDDEHB_02744,+
group_2564,CDKDDEHB_02747,-
group_2565,CDKDDEHB_02748,-
ephB,CDKDDEHB_02749,-
pknD_3,CDKDDEHB_02750,+
group_2568,CDKDDEHB_02755,+
group_2569,CDKDDEHB_02756,-
group_257,CDKDDEHB_00526,-
group_2570,CDKDDEHB_02760,-
group_2571,CDKDDEHB_02766,-
group_2572,CDKDDEHB_02771,-
group_2573,CDKDDEHB_02772,-
group_2574,CDKDDEHB_02774,+
group_2575,CDKDDEHB_02777,-
group_2576,CDKDDEHB_02778,-
liaR_6,CDKDDEHB_02780,+
group_2578,CDKDDEHB_02786,+
nreC_4,CDKDDEHB_00528,+
group_2581,CDKDDEHB_02806,-
group_2582,CDKDDEHB_02809,-
group_2583,CDKDDEHB_02810,+
group_2584,CDKDDEHB_02811,+
group_2585,CDKDDEHB_02813,+
lhgD,CDKDDEHB_02814,+
group_2587,CDKDDEHB_02816,+
group_2588,CDKDDEHB_02818,-
group_2589,CDKDDEHB_02819,-
group_2590,CDKDDEHB_02821,-
clpC,CDKDDEHB_02823,+
group_2592,CDKDDEHB_02824,+
deaD_3,CDKDDEHB_02829,-
purF,CDKDDEHB_02844,-
group_2596,CDKDDEHB_02845,-
lsr2_1,CDKDDEHB_02849,+
btuD_13,CDKDDEHB_02851,+
group_2599,CDKDDEHB_02852,+
group_26,CDKDDEHB_02435,-
group_260,CDKDDEHB_00548,-
desR_1,CDKDDEHB_02854,+
purC,CDKDDEHB_02856,-
group_2602,CDKDDEHB_02869,-
group_2603,CDKDDEHB_02872,-
group_2604,CDKDDEHB_02873,-
fabG_2,CDKDDEHB_02875,+
group_2606,CDKDDEHB_02876,+
group_2607,CDKDDEHB_02881,+
group_2608,CDKDDEHB_02882,+
tadA_2,CDKDDEHB_02883,+
ccpA_3,CDKDDEHB_00622,+
group_2610,CDKDDEHB_02894,-
qacA_3,CDKDDEHB_02895,-
group_2612,CDKDDEHB_02896,+
sti,CDKDDEHB_02901,+
group_2615,CDKDDEHB_02905,-
group_2616,CDKDDEHB_02906,-
group_2617,CDKDDEHB_02911,+
group_2618,CDKDDEHB_02912,-
group_2619,CDKDDEHB_02913,+
group_2620,CDKDDEHB_02915,-
group_2621,CDKDDEHB_02919,+
group_2622,CDKDDEHB_02920,+
serS,CDKDDEHB_02923,+
btuD_14,CDKDDEHB_02928,-
ephD,CDKDDEHB_02929,+
group_2626,CDKDDEHB_02930,+
fgd_4,CDKDDEHB_02931,-
group_2628,CDKDDEHB_02933,-
dosT,CDKDDEHB_02934,-
group_263,CDKDDEHB_00628,-
btuD_15,CDKDDEHB_02935,-
pat,CDKDDEHB_02938,-
ssgB_3,CDKDDEHB_02944,-
group_2633,CDKDDEHB_02945,-
mccB,CDKDDEHB_02949,+
group_2635,CDKDDEHB_02951,+
dap_2,CDKDDEHB_02955,-
group_264,CDKDDEHB_00646,-
group_2643,CDKDDEHB_02984,-
mtgA_3,CDKDDEHB_02985,-
group_2645,CDKDDEHB_02988,+
group_2646,CDKDDEHB_02989,+
trxA,CDKDDEHB_02997,+
parB,CDKDDEHB_02999,-
rsmG,CDKDDEHB_03001,-
group_265,CDKDDEHB_00669,-
group_2650,CDKDDEHB_03010,+
group_2651,CDKDDEHB_03013,+
group_2652,CDKDDEHB_03018,+
group_2653,CDKDDEHB_03019,+
betI_7,CDKDDEHB_03027,-
cypB,CDKDDEHB_03030,+
trpG,CDKDDEHB_03035,+
pbpA_2,CDKDDEHB_03039,-
azoR,CDKDDEHB_03045,-
group_2659,CDKDDEHB_03046,+
group_2660,CDKDDEHB_03047,+
group_2661,CDKDDEHB_03050,+
group_2662,CDKDDEHB_03051,+
group_2663,CDKDDEHB_03053,+
pdhC,CDKDDEHB_03057,+
group_2665,CDKDDEHB_03059,+
qorA_1,CDKDDEHB_03061,+
group_2667,CDKDDEHB_03062,+
bpa,CDKDDEHB_03064,+
devR_2,CDKDDEHB_03067,-
group_2670,CDKDDEHB_03068,+
group_2671,CDKDDEHB_03075,+
group_2672,CDKDDEHB_03076,-
group_2673,CDKDDEHB_03080,-
group_2674,CDKDDEHB_03084,+
group_2675,CDKDDEHB_03088,+
group_2676,CDKDDEHB_03089,-
group_2677,CDKDDEHB_03091,-
modA,CDKDDEHB_03097,+
tagU_6,CDKDDEHB_03100,+
group_268,CDKDDEHB_00681,+
group_2680,CDKDDEHB_03101,-
adh,CDKDDEHB_03105,-
group_2682,CDKDDEHB_03106,-
group_2683,CDKDDEHB_03108,+
group_2684,CDKDDEHB_03109,+
