Gene,albidoflavus_UYFA156,Sign
group_1949,OKGGMJON_01296,-
group_195,OKGGMJON_04862,+
group_1950,OKGGMJON_01297,-
group_1951,OKGGMJON_01299,+
group_1952,OKGGMJON_01301,-
potA_1,OKGGMJON_01305,-
group_1954,OKGGMJON_01308,+
spuE,OKGGMJON_01312,-
ytrE_2,OKGGMJON_01317,+
group_1957,OKGGMJON_01318,+
group_1958,OKGGMJON_01319,+
group_1959,OKGGMJON_01320,-
potA_2,OKGGMJON_01321,-
thiB,OKGGMJON_01323,-
group_1963,OKGGMJON_01331,-
dprA,OKGGMJON_01333,-
group_1965,OKGGMJON_01339,-
group_1966,OKGGMJON_01340,-
lepB,OKGGMJON_01341,-
rimM,OKGGMJON_01344,-
smc,OKGGMJON_01359,-
TDO2_2,OKGGMJON_06073,-
group_1970,OKGGMJON_01361,+
group_1971,OKGGMJON_01366,-
group_1972,OKGGMJON_01376,+
group_1973,OKGGMJON_01379,-
fbiD_1,OKGGMJON_01380,+
group_1975,OKGGMJON_01381,+
group_1976,OKGGMJON_01387,-
group_1977,OKGGMJON_01388,+
gph_2,OKGGMJON_01394,-
gltX,OKGGMJON_01395,-
group_1980,OKGGMJON_01398,-
group_1981,OKGGMJON_01399,+
group_1982,OKGGMJON_01400,+
group_1983,OKGGMJON_01406,+
group_1984,OKGGMJON_01411,+
group_1985,OKGGMJON_01412,+
group_1986,OKGGMJON_01423,-
group_1987,OKGGMJON_01426,+
cyc2,OKGGMJON_01428,+
group_1989,OKGGMJON_01429,-
ureA_1,OKGGMJON_01434,-
group_1992,OKGGMJON_01438,-
group_1993,OKGGMJON_01439,+
group_1994,OKGGMJON_01440,+
group_1995,OKGGMJON_01441,+
group_1996,OKGGMJON_01446,+
prmC_1,OKGGMJON_01451,+
ilvC,OKGGMJON_01453,-
group_1999,OKGGMJON_01457,-
group_200,OKGGMJON_03231,+
group_2000,OKGGMJON_01461,-
group_2001,OKGGMJON_01462,-
group_2002,OKGGMJON_01463,+
ydfJ_1,OKGGMJON_01465,-
yvdD,OKGGMJON_01473,-
group_2005,OKGGMJON_01474,+
group_2006,OKGGMJON_01475,+
group_2007,OKGGMJON_01479,-
group_2008,OKGGMJON_01481,-
btuD_6,OKGGMJON_01482,-
gsiD_4,OKGGMJON_01484,-
dppA_3,OKGGMJON_01486,-
group_2012,OKGGMJON_01487,-
group_2013,OKGGMJON_01489,-
gcvT_1,OKGGMJON_01490,+
gcvH_1,OKGGMJON_01491,+
group_2016,OKGGMJON_01497,-
group_2017,OKGGMJON_01499,+
kdpA,OKGGMJON_01500,+
kdpB_3,OKGGMJON_01501,+
kdpE_2,OKGGMJON_01503,+
oxd,OKGGMJON_01506,+
leuO,OKGGMJON_01507,+
group_2023,OKGGMJON_01508,+
group_2024,OKGGMJON_01509,+
group_2025,OKGGMJON_01512,-
group_2026,OKGGMJON_01515,-
group_2027,OKGGMJON_01516,-
echA8_2,OKGGMJON_01517,-
ldtB_2,OKGGMJON_01519,-
glgX_2,OKGGMJON_01520,+
group_2031,OKGGMJON_01521,-
lnrL_2,OKGGMJON_01522,-
group_2033,OKGGMJON_01523,+
group_2034,OKGGMJON_01524,+
group_2036,OKGGMJON_01525,+
pstI,OKGGMJON_01527,+
glgB,OKGGMJON_01532,+
group_2039,OKGGMJON_01534,-
dltA_7,OKGGMJON_06089,-
ackA,OKGGMJON_01544,+
group_2041,OKGGMJON_01546,-
group_2042,OKGGMJON_01547,-
group_2043,OKGGMJON_01550,+
group_2044,OKGGMJON_01554,-
cenA,OKGGMJON_01555,+
group_2046,OKGGMJON_01556,-
group_2047,OKGGMJON_01557,-
group_2048,OKGGMJON_01559,-
group_2049,OKGGMJON_01560,+
group_2050,OKGGMJON_01562,+
group_2051,OKGGMJON_01563,+
group_2052,OKGGMJON_01564,+
group_2053,OKGGMJON_01565,+
sasA_3,OKGGMJON_01566,-
group_2055,OKGGMJON_01570,+
bcrA_1,OKGGMJON_01590,+
group_2057,OKGGMJON_01591,+
bcrA_2,OKGGMJON_01592,+
group_2059,OKGGMJON_01593,+
group_2060,OKGGMJON_01603,+
degU_1,OKGGMJON_01604,+
chtA_1,OKGGMJON_01605,+
atpE,OKGGMJON_01614,-
tagU_1,OKGGMJON_01623,-
hom,OKGGMJON_01627,-
group_2066,OKGGMJON_01629,-
mprA_1,OKGGMJON_01630,-
group_2069,OKGGMJON_01633,+
cpdA_1,OKGGMJON_00218,+
group_2070,OKGGMJON_01637,-
group_2071,OKGGMJON_01639,+
group_2072,OKGGMJON_01640,+
ku,OKGGMJON_01642,-
ligD_1,OKGGMJON_01643,+
rodA_1,OKGGMJON_01645,+
pbpA_1,OKGGMJON_01646,+
group_2077,OKGGMJON_01648,-
group_2078,OKGGMJON_01650,+
group_2079,OKGGMJON_01652,-
group_2080,OKGGMJON_01657,-
group_2081,OKGGMJON_01658,+
acm_2,OKGGMJON_01660,+
group_2083,OKGGMJON_01661,+
qacA_2,OKGGMJON_01663,+
group_2085,OKGGMJON_01664,+
sigE_1,OKGGMJON_01666,+
yxlF_1,OKGGMJON_01669,+
group_2088,OKGGMJON_01673,+
baeS,OKGGMJON_01675,+
group_209,OKGGMJON_00237,-
chuR,OKGGMJON_01680,-
group_2091,OKGGMJON_01688,-
group_2092,OKGGMJON_01689,+
group_2093,OKGGMJON_01699,-
ytrA_2,OKGGMJON_01703,-
group_2095,OKGGMJON_01704,-
group_2096,OKGGMJON_01705,+
group_2097,OKGGMJON_01706,-
dcyD,OKGGMJON_01714,+
group_2099,OKGGMJON_01716,+
group_21,OKGGMJON_01972,+
dasB_1,OKGGMJON_01726,-
cstA,OKGGMJON_01729,+
group_2102,OKGGMJON_01730,+
cyc1,OKGGMJON_01734,-
group_2104,OKGGMJON_01742,+
group_2105,OKGGMJON_01746,-
furA,OKGGMJON_01749,+
group_2107,OKGGMJON_01756,-
group_2108,OKGGMJON_01758,-
group_2109,OKGGMJON_01764,-
group_211,OKGGMJON_00251,+
uvrD2,OKGGMJON_01771,-
caeA_1,OKGGMJON_01781,+
group_2112,OKGGMJON_01785,-
group_2113,OKGGMJON_01798,-
group_2114,OKGGMJON_01799,+
yciV,OKGGMJON_01801,-
yfmO,OKGGMJON_01802,+
group_2117,OKGGMJON_01806,+
group_2118,OKGGMJON_01807,-
group_2119,OKGGMJON_01814,-
pgl_1,OKGGMJON_00292,-
sigE_2,OKGGMJON_01815,-
trmR,OKGGMJON_01816,+
tag,OKGGMJON_01820,-
group_2123,OKGGMJON_01821,-
nat_1,OKGGMJON_01823,+
group_2125,OKGGMJON_01824,-
group_2126,OKGGMJON_01825,+
group_2127,OKGGMJON_01828,+
group_2128,OKGGMJON_01830,+
group_2129,OKGGMJON_01833,+
mro,OKGGMJON_01835,-
yjfF,OKGGMJON_01836,-
rbsC_4,OKGGMJON_01837,-
araG_2,OKGGMJON_01838,-
purR_2,OKGGMJON_01839,-
group_2135,OKGGMJON_01841,-
group_2136,OKGGMJON_01843,-
mshB_1,OKGGMJON_01844,-
dap4,OKGGMJON_01846,+
group_2139,OKGGMJON_01847,-
group_214,OKGGMJON_00300,-
oppC,OKGGMJON_01855,-
dppB_4,OKGGMJON_01856,-
group_2142,OKGGMJON_01861,-
group_2143,OKGGMJON_01862,+
group_2144,OKGGMJON_01863,-
group_2145,OKGGMJON_01864,-
group_2146,OKGGMJON_01866,-
group_2147,OKGGMJON_01869,-
group_2148,OKGGMJON_01870,+
group_2150,OKGGMJON_01871,+
group_2151,OKGGMJON_01873,+
group_2152,OKGGMJON_01876,-
group_2153,OKGGMJON_01877,+
group_2154,OKGGMJON_01878,-
aam_1,OKGGMJON_01884,+
fliY,OKGGMJON_01886,+
glnQ_3,OKGGMJON_01889,+
group_2158,OKGGMJON_01890,+
cdhR_1,OKGGMJON_01891,-
group_2160,OKGGMJON_01892,+
group_2161,OKGGMJON_01893,-
group_2162,OKGGMJON_01896,-
group_2163,OKGGMJON_01900,+
group_2164,OKGGMJON_01902,-
group_2165,OKGGMJON_01907,-
yidC_1,OKGGMJON_01908,-
moaE1,OKGGMJON_01757,-
group_2172,OKGGMJON_01919,-
group_2173,OKGGMJON_01921,-
group_2174,OKGGMJON_01922,-
mtgA_1,OKGGMJON_01923,+
group_2176,OKGGMJON_01926,-
bcp,OKGGMJON_01927,+
group_2178,OKGGMJON_01931,-
cysM,OKGGMJON_01937,-
cysO_1,OKGGMJON_01938,-
group_2181,OKGGMJON_01942,-
pncA,OKGGMJON_01946,+
group_2184,OKGGMJON_01950,-
hpd,OKGGMJON_01955,-
opuCA_1,OKGGMJON_01958,+
group_2187,OKGGMJON_01959,+
osmX_1,OKGGMJON_01960,+
group_2189,OKGGMJON_01961,+
fdhD_2,OKGGMJON_00564,+
tap_3,OKGGMJON_01963,+
group_2192,OKGGMJON_01965,-
group_2195,OKGGMJON_01975,+
group_2196,OKGGMJON_01978,-
dasB_2,OKGGMJON_01985,-
group_2198,OKGGMJON_01988,-
group_2199,OKGGMJON_01989,-
group_22,OKGGMJON_03452,-
zwf1,OKGGMJON_00311,+
group_2200,OKGGMJON_01995,+
group_2201,OKGGMJON_01996,-
group_2203,OKGGMJON_01999,-
group_2204,OKGGMJON_02001,-
ctpA_1,OKGGMJON_02007,-
prfB,OKGGMJON_02012,-
group_2207,OKGGMJON_02015,+
group_2208,OKGGMJON_02017,+
tagF,OKGGMJON_02019,+
gtfA,OKGGMJON_02020,-
group_2211,OKGGMJON_02021,-
group_2212,OKGGMJON_02025,-
gph_3,OKGGMJON_02029,-
group_2214,OKGGMJON_02030,-
group_2215,OKGGMJON_02031,+
hcaR_2,OKGGMJON_02032,-
group_2217,OKGGMJON_04765,+
group_2218,OKGGMJON_02036,+
hpf,OKGGMJON_02038,-
group_222,OKGGMJON_00314,-
group_2220,OKGGMJON_02039,-
sasA_4,OKGGMJON_02042,-
group_2222,OKGGMJON_02045,+
group_2223,OKGGMJON_02048,+
manA,OKGGMJON_02059,-
group_2225,OKGGMJON_02062,+
group_2226,OKGGMJON_02069,-
group_2227,OKGGMJON_02074,-
group_2228,OKGGMJON_02078,+
tagU_2,OKGGMJON_02079,+
group_2230,OKGGMJON_02080,+
lcpB_1,OKGGMJON_02086,+
group_2236,OKGGMJON_02093,-
group_2239,OKGGMJON_02100,-
group_2240,OKGGMJON_02106,-
group_2241,OKGGMJON_02107,-
group_2242,OKGGMJON_02108,+
group_2243,OKGGMJON_02109,-
group_2244,OKGGMJON_02110,+
purE,OKGGMJON_02112,-
group_2246,OKGGMJON_02114,+
group_2247,OKGGMJON_02120,-
hutI_1,OKGGMJON_02123,-
lysA_2,OKGGMJON_02126,+
group_225,OKGGMJON_00338,+
yhdG_3,OKGGMJON_02127,+
group_2251,OKGGMJON_02128,-
group_2252,OKGGMJON_02131,-
purR_3,OKGGMJON_02132,+
group_2254,OKGGMJON_02133,+
group_2255,OKGGMJON_02134,+
group_2256,OKGGMJON_02135,+
group_2257,OKGGMJON_02136,+
group_2258,OKGGMJON_02138,-
group_2259,OKGGMJON_02144,+
group_2260,OKGGMJON_02149,-
group_2261,OKGGMJON_02151,-
group_2262,OKGGMJON_02152,-
lnrL_3,OKGGMJON_02153,-
group_2264,OKGGMJON_02154,+
group_2265,OKGGMJON_02157,+
group_2266,OKGGMJON_02159,-
ppx2,OKGGMJON_02163,-
group_2268,OKGGMJON_02164,-
group_2269,OKGGMJON_02167,-
group_2271,OKGGMJON_02169,-
group_2272,OKGGMJON_02170,-
group_2273,OKGGMJON_02171,-
group_2274,OKGGMJON_02187,+
group_2275,OKGGMJON_02190,+
betI_6,OKGGMJON_02192,+
group_2278,OKGGMJON_02193,-
group_2279,OKGGMJON_02200,-
group_228,OKGGMJON_00370,-
afsR_1,OKGGMJON_02206,-
group_2281,OKGGMJON_02207,-
ydaF,OKGGMJON_02210,+
group_2283,OKGGMJON_02211,-
group_2284,OKGGMJON_02213,-
group_2285,OKGGMJON_02218,-
novJ_1,OKGGMJON_02221,-
group_2287,OKGGMJON_02222,+
group_2288,OKGGMJON_02223,+
group_2289,OKGGMJON_02227,+
catI,OKGGMJON_00384,+
group_2290,OKGGMJON_02228,+
lnrJ,OKGGMJON_02229,-
rplY,OKGGMJON_02236,+
group_2295,OKGGMJON_02238,+
tam_5,OKGGMJON_02243,-
galE_2,OKGGMJON_02247,-
galT,OKGGMJON_02248,-
group_2299,OKGGMJON_02250,+
group_23,OKGGMJON_02758,+
group_2300,OKGGMJON_02252,-
group_2301,OKGGMJON_02253,-
ispE,OKGGMJON_02256,-
ksgA,OKGGMJON_02257,-
tatD,OKGGMJON_02258,-
nagJ,OKGGMJON_02259,-
rsmI,OKGGMJON_02261,-
mrdA_1,OKGGMJON_02265,+
group_2308,OKGGMJON_02267,-
group_2309,OKGGMJON_02270,+
group_2310,OKGGMJON_02273,+
ydfJ_2,OKGGMJON_02274,-
tri1_1,OKGGMJON_02276,+
group_2313,OKGGMJON_02277,+
catD_2,OKGGMJON_02279,-
group_2315,OKGGMJON_02281,+
exoA,OKGGMJON_02282,-
group_2317,OKGGMJON_02283,+
group_2319,OKGGMJON_02285,-
group_2320,OKGGMJON_02288,+
liaR_2,OKGGMJON_02289,+
group_2322,OKGGMJON_02291,-
rimJ_2,OKGGMJON_02294,-
group_2325,OKGGMJON_02300,+
nhaP,OKGGMJON_02302,+
group_2327,OKGGMJON_02303,+
group_2329,OKGGMJON_02311,+
group_233,OKGGMJON_00405,-
efpA_2,OKGGMJON_02315,-
group_2332,OKGGMJON_02316,-
group_2333,OKGGMJON_02318,+
group_2334,OKGGMJON_02322,+
group_2335,OKGGMJON_02323,+
paaK,OKGGMJON_02324,-
group_2337,OKGGMJON_02325,-
astD,OKGGMJON_02326,+
crt,OKGGMJON_02328,+
group_234,OKGGMJON_00458,+
paaA_1,OKGGMJON_02330,+
paaC_1,OKGGMJON_02332,+
group_2342,OKGGMJON_02338,-
group_2350,OKGGMJON_02364,+
group_2351,OKGGMJON_02365,-
map-1_1,OKGGMJON_02366,+
group_2353,OKGGMJON_02370,+
group_2354,OKGGMJON_02371,+
group_2355,OKGGMJON_02374,+
group_2357,OKGGMJON_02376,+
group_2358,OKGGMJON_02377,-
group_2359,OKGGMJON_02381,-
group_2360,OKGGMJON_02388,-
acyII,OKGGMJON_02389,-
irtA,OKGGMJON_02390,+
mfpA,OKGGMJON_02405,-
group_2364,OKGGMJON_02406,-
afsR_2,OKGGMJON_02407,+
group_2366,OKGGMJON_02408,+
group_2367,OKGGMJON_02410,+
group_2368,OKGGMJON_02411,-
group_2369,OKGGMJON_02417,-
group_2370,OKGGMJON_02420,-
cdhR_3,OKGGMJON_02421,+
group_2372,OKGGMJON_02422,-
group_2373,OKGGMJON_02426,+
purU,OKGGMJON_02427,-
group_2375,OKGGMJON_02428,-
group_2376,OKGGMJON_02429,+
group_2377,OKGGMJON_02430,-
group_2378,OKGGMJON_02432,+
group_2379,OKGGMJON_02433,+
group_238,OKGGMJON_00471,+
btuD_11,OKGGMJON_02434,+
group_2381,OKGGMJON_02435,+
group_2382,OKGGMJON_02436,-
slmA,OKGGMJON_02437,+
group_2384,OKGGMJON_02439,-
group_2385,OKGGMJON_02441,+
pdxH_2,OKGGMJON_02443,-
citA,OKGGMJON_02444,+
tap_5,OKGGMJON_02445,-
cymR,OKGGMJON_02446,-
ligC,OKGGMJON_00495,+
rhtA_2,OKGGMJON_02461,-
hcaR_3,OKGGMJON_02462,+
group_2392,OKGGMJON_02466,+
pksS,OKGGMJON_02468,+
ncsB3_3,OKGGMJON_02469,+
thadh,OKGGMJON_02471,-
group_2396,OKGGMJON_02472,-
drrA_1,OKGGMJON_02473,-
group_2398,OKGGMJON_02474,+
group_2399,OKGGMJON_02475,-
group_2400,OKGGMJON_02478,+
group_2401,OKGGMJON_02479,+
group_2402,OKGGMJON_02480,+
group_2403,OKGGMJON_02481,+
group_2404,OKGGMJON_02482,-
group_2405,OKGGMJON_02484,+
group_2406,OKGGMJON_02485,-
group_2407,OKGGMJON_02486,+
group_2408,OKGGMJON_02489,-
group_2409,OKGGMJON_02490,-
group_241,OKGGMJON_00507,+
group_2410,OKGGMJON_02492,-
thpR,OKGGMJON_02493,-
group_2412,OKGGMJON_02496,+
group_2413,OKGGMJON_02502,-
group_2414,OKGGMJON_02504,-
group_2415,OKGGMJON_02505,-
group_2416,OKGGMJON_02506,+
mqnB,OKGGMJON_02508,+
yfiY,OKGGMJON_02520,-
fepC_4,OKGGMJON_02521,-
yfhA_3,OKGGMJON_02522,-
yfiZ_2,OKGGMJON_02523,-
gph_5,OKGGMJON_02524,+
group_2423,OKGGMJON_02526,+
pikC_2,OKGGMJON_02529,-
group_2425,OKGGMJON_02534,-
group_2428,OKGGMJON_02539,+
rutC,OKGGMJON_00517,-
group_2430,OKGGMJON_02545,-
cutC,OKGGMJON_02555,-
group_2434,OKGGMJON_02556,+
group_2436,OKGGMJON_02567,-
gpmA_2,OKGGMJON_02569,-
group_2438,OKGGMJON_02577,-
otsA,OKGGMJON_02586,+
group_244,OKGGMJON_00544,-
group_2440,OKGGMJON_02588,-
group_2442,OKGGMJON_02602,-
group_2443,OKGGMJON_02606,+
gbpA_2,OKGGMJON_02607,+
lacC_2,OKGGMJON_02608,+
group_2446,OKGGMJON_02615,+
fdhA_2,OKGGMJON_02616,+
group_2448,OKGGMJON_02617,+
group_2449,OKGGMJON_02618,-
group_2450,OKGGMJON_02619,+
group_2454,OKGGMJON_02625,+
group_2455,OKGGMJON_02626,+
group_2456,OKGGMJON_02627,-
group_2458,OKGGMJON_02628,-
group_246,OKGGMJON_00548,-
group_2460,OKGGMJON_02639,+
wbiB,OKGGMJON_02643,-
group_2462,OKGGMJON_02645,+
group_2463,OKGGMJON_02646,+
group_2464,OKGGMJON_02647,+
group_2465,OKGGMJON_02651,+
group_2466,OKGGMJON_02653,+
group_2468,OKGGMJON_02658,-
group_2469,OKGGMJON_02665,-
group_2470,OKGGMJON_02667,-
eryA,OKGGMJON_02669,-
group_2472,OKGGMJON_02674,+
fprB,OKGGMJON_02676,+
thiI,OKGGMJON_02677,+
group_2475,OKGGMJON_02685,-
group_2476,OKGGMJON_02686,-
group_2477,OKGGMJON_02687,-
group_2478,OKGGMJON_02688,-
group_2479,OKGGMJON_02689,-
bltD,OKGGMJON_02690,+
group_2481,OKGGMJON_02692,+
rfbF,OKGGMJON_02700,+
group_2493,OKGGMJON_02701,+
cysS,OKGGMJON_02705,-
dppE_1,OKGGMJON_02709,-
group_2497,OKGGMJON_02710,-
ispF,OKGGMJON_02712,-
sasA_6,OKGGMJON_02717,-
alsT,OKGGMJON_00568,-
group_2500,OKGGMJON_02721,-
group_2501,OKGGMJON_03501,-
group_2502,OKGGMJON_03497,-
group_2503,OKGGMJON_03496,+
group_2504,OKGGMJON_03494,+
group_2505,OKGGMJON_03493,+
ufaA1,OKGGMJON_03492,+
group_2507,OKGGMJON_03490,+
yfcD_1,OKGGMJON_03489,+
group_2509,OKGGMJON_03488,-
fecE_2,OKGGMJON_03485,+
btuF_2,OKGGMJON_03483,+
iclR_2,OKGGMJON_03480,-
group_2513,OKGGMJON_03478,+
group_2514,OKGGMJON_03477,+
group_2515,OKGGMJON_03476,-
ndh,OKGGMJON_03466,+
group_2518,OKGGMJON_03462,-
group_2519,OKGGMJON_03461,-
group_252,OKGGMJON_00600,+
group_2520,OKGGMJON_03460,+
group_2522,OKGGMJON_03456,-
cobB_2,OKGGMJON_03455,+
group_2524,OKGGMJON_03454,-
ppiA,OKGGMJON_03453,-
lcfB_1,OKGGMJON_03448,-
group_253,OKGGMJON_00652,-
accD3,OKGGMJON_03447,-
group_2531,OKGGMJON_03446,+
group_2532,OKGGMJON_03445,-
group_2533,OKGGMJON_03444,+
group_2534,OKGGMJON_03443,-
hpr,OKGGMJON_03441,-
group_2536,OKGGMJON_03437,-
group_2537,OKGGMJON_03436,+
group_2539,OKGGMJON_05408,+
ggt,OKGGMJON_00661,-
group_2540,OKGGMJON_05401,-
group_2541,OKGGMJON_05399,-
caeA_2,OKGGMJON_03434,+
tmk,OKGGMJON_03432,+
group_2550,OKGGMJON_03429,+
prmC_3,OKGGMJON_03428,+
group_2552,OKGGMJON_03419,+
group_2553,OKGGMJON_03417,+
group_2554,OKGGMJON_03416,-
group_2555,OKGGMJON_03415,+
group_2556,OKGGMJON_03412,-
acsA_2,OKGGMJON_03411,-
nhaA,OKGGMJON_03410,-
group_2559,OKGGMJON_03409,-
group_256,OKGGMJON_00686,+
group_2560,OKGGMJON_03401,+
group_2561,OKGGMJON_03392,-
group_2563,OKGGMJON_03350,-
group_2564,OKGGMJON_03347,+
group_2565,OKGGMJON_03346,+
ephB,OKGGMJON_03345,+
pknD_3,OKGGMJON_03344,-
group_2568,OKGGMJON_03342,-
group_2569,OKGGMJON_03341,+
group_257,OKGGMJON_00687,-
group_2570,OKGGMJON_03337,+
group_2571,OKGGMJON_03330,+
group_2572,OKGGMJON_03325,+
group_2573,OKGGMJON_03324,+
group_2574,OKGGMJON_03322,-
group_2575,OKGGMJON_03319,+
group_2576,OKGGMJON_03318,+
liaR_6,OKGGMJON_03315,-
group_2578,OKGGMJON_03310,-
nreC_4,OKGGMJON_00692,+
group_2581,OKGGMJON_03290,+
group_2582,OKGGMJON_03287,+
group_2583,OKGGMJON_03286,-
group_2584,OKGGMJON_03285,-
group_2585,OKGGMJON_03283,-
lhgD,OKGGMJON_03282,-
group_2587,OKGGMJON_03279,-
group_2588,OKGGMJON_03277,+
group_2589,OKGGMJON_03276,+
group_2590,OKGGMJON_03274,+
clpC,OKGGMJON_03272,-
group_2592,OKGGMJON_03271,-
deaD_3,OKGGMJON_03266,+
purF,OKGGMJON_03247,+
group_2596,OKGGMJON_03246,+
lsr2_1,OKGGMJON_03242,-
btuD_13,OKGGMJON_03240,-
group_2599,OKGGMJON_03239,-
group_26,OKGGMJON_02630,-
group_260,OKGGMJON_00711,-
desR_1,OKGGMJON_03237,-
purC,OKGGMJON_03235,+
group_2602,OKGGMJON_03224,+
group_2603,OKGGMJON_03222,+
group_2604,OKGGMJON_03221,+
fabG_2,OKGGMJON_03219,-
group_2606,OKGGMJON_03218,-
group_2607,OKGGMJON_03212,-
group_2608,OKGGMJON_03211,-
tadA_2,OKGGMJON_03210,-
ccpA_3,OKGGMJON_00746,+
group_2610,OKGGMJON_03199,+
qacA_3,OKGGMJON_03198,+
group_2612,OKGGMJON_03197,-
sti,OKGGMJON_03190,-
group_2615,OKGGMJON_03185,+
group_2616,OKGGMJON_03184,+
group_2617,OKGGMJON_03179,-
group_2618,OKGGMJON_03178,+
group_2619,OKGGMJON_03177,-
group_2620,OKGGMJON_03175,+
group_2621,OKGGMJON_03171,-
group_2622,OKGGMJON_03170,-
serS,OKGGMJON_03167,-
btuD_14,OKGGMJON_03162,+
ephD,OKGGMJON_03161,-
group_2626,OKGGMJON_03160,-
fgd_4,OKGGMJON_03159,+
group_2628,OKGGMJON_03156,+
dosT,OKGGMJON_03155,+
group_263,OKGGMJON_00752,-
btuD_15,OKGGMJON_03154,+
pat,OKGGMJON_03151,+
ssgB_3,OKGGMJON_03145,+
group_2633,OKGGMJON_03144,+
mccB,OKGGMJON_03140,-
group_2635,OKGGMJON_03138,-
dap_2,OKGGMJON_03134,+
group_264,OKGGMJON_00775,-
group_2643,OKGGMJON_03121,+
mtgA_3,OKGGMJON_03120,+
group_2645,OKGGMJON_03117,-
group_2646,OKGGMJON_03116,-
trxA,OKGGMJON_03108,-
parB,OKGGMJON_03106,+
rsmG,OKGGMJON_03104,+
group_265,OKGGMJON_00794,-
group_2650,OKGGMJON_03095,-
group_2651,OKGGMJON_03092,-
group_2652,OKGGMJON_03087,-
group_2653,OKGGMJON_03086,-
betI_7,OKGGMJON_03078,+
cypB,OKGGMJON_03075,-
trpG,OKGGMJON_03070,-
pbpA_2,OKGGMJON_03066,+
azoR,OKGGMJON_03060,+
group_2659,OKGGMJON_03059,-
group_2660,OKGGMJON_03058,-
group_2661,OKGGMJON_03053,-
group_2662,OKGGMJON_03052,-
group_2663,OKGGMJON_03050,-
pdhC,OKGGMJON_03046,-
group_2665,OKGGMJON_03044,-
qorA_1,OKGGMJON_03042,-
group_2667,OKGGMJON_03041,-
bpa,OKGGMJON_03039,-
devR_2,OKGGMJON_03036,+
group_2670,OKGGMJON_03035,-
group_2671,OKGGMJON_03029,-
group_2672,OKGGMJON_03028,+
group_2673,OKGGMJON_03024,+
group_2674,OKGGMJON_03020,-
group_2675,OKGGMJON_03017,-
group_2676,OKGGMJON_03016,+
group_2677,OKGGMJON_03014,+
modA,OKGGMJON_03008,-
tagU_6,OKGGMJON_03004,-
group_268,OKGGMJON_00810,+
group_2680,OKGGMJON_03003,+
adh,OKGGMJON_02999,+
group_2682,OKGGMJON_02998,+
group_2683,OKGGMJON_02996,-
group_2684,OKGGMJON_02995,-
group_2687,OKGGMJON_02991,-
group_2688,OKGGMJON_02989,+
group_2689,OKGGMJON_02986,+
aes,OKGGMJON_02985,-
group_2691,OKGGMJON_02979,-
group_2692,OKGGMJON_02972,+
group_2693,OKGGMJON_02971,-
group_2694,OKGGMJON_02967,+
group_2695,OKGGMJON_02965,+
group_2696,OKGGMJON_02964,+
yfiZ_3,OKGGMJON_02963,-
yfhA_4,OKGGMJON_02962,-
yfmC,OKGGMJON_02960,-
group_27,OKGGMJON_02664,+
btuF_1,OKGGMJON_00820,+
group_2700,OKGGMJON_02959,-
group_2702,OKGGMJON_02958,+
btuD_17,OKGGMJON_02957,+
group_2704,OKGGMJON_02953,-
group_2705,OKGGMJON_02952,+
group_2706,OKGGMJON_02950,+
group_2707,OKGGMJON_02945,+
abaF_3,OKGGMJON_02940,+
group_2709,OKGGMJON_02935,-
group_2710,OKGGMJON_02930,-
group_2711,OKGGMJON_02929,-
malY,OKGGMJON_02926,-
kynU_1,OKGGMJON_02920,-
group_2714,OKGGMJON_02919,-
group_2715,OKGGMJON_02917,-
group_2716,OKGGMJON_02915,-
group_2717,OKGGMJON_02914,+
menH_3,OKGGMJON_02904,+
group_2720,OKGGMJON_02882,+
group_2721,OKGGMJON_02878,+
group_2722,OKGGMJON_02873,-
group_2723,OKGGMJON_02869,-
group_2724,OKGGMJON_02868,-
comR_2,OKGGMJON_02867,-
linC_2,OKGGMJON_02866,-
group_2727,OKGGMJON_02864,+
group_2728,OKGGMJON_02860,+
pstS3,OKGGMJON_02858,+
group_273,OKGGMJON_00841,+
mutT1,OKGGMJON_02857,+
group_2731,OKGGMJON_02856,-
group_2732,OKGGMJON_02853,+
group_2733,OKGGMJON_02852,+
group_2734,OKGGMJON_02851,-
group_2735,OKGGMJON_02848,-
group_2736,OKGGMJON_02847,+
menH_4,OKGGMJON_02846,-
group_2738,OKGGMJON_02845,+
group_2739,OKGGMJON_02844,+
noxE,OKGGMJON_00893,+
group_2740,OKGGMJON_02841,-
sigE_3,OKGGMJON_02831,-
group_2743,OKGGMJON_02829,+
COQ5_4,OKGGMJON_02828,-
neo,OKGGMJON_02827,+
oleB,OKGGMJON_02820,-
hchA,OKGGMJON_02818,-
group_2749,OKGGMJON_02817,+
group_2750,OKGGMJON_02816,+
group_2751,OKGGMJON_02813,+
group_2752,OKGGMJON_02812,+
group_2753,OKGGMJON_02810,+
group_2754,OKGGMJON_02809,+
group_2755,OKGGMJON_02808,+
group_2756,OKGGMJON_02806,+
group_2757,OKGGMJON_02804,-
mshD_3,OKGGMJON_02803,+
yhcR,OKGGMJON_02802,-
group_276,OKGGMJON_00914,+
araA,OKGGMJON_02800,+
sbpA,OKGGMJON_02791,-
xylG,OKGGMJON_02790,-
group_2763,OKGGMJON_02788,-
mprB,OKGGMJON_02787,+
mprA_2,OKGGMJON_02786,+
group_2766,OKGGMJON_02785,+
group_2767,OKGGMJON_02780,-
