Gene,albidoflavus_W68,Sign
group_191,PCKCKJGC_04566,+
group_1910,PCKCKJGC_01125,-
group_1911,PCKCKJGC_01126,+
iucC_1,PCKCKJGC_01133,-
iucB,PCKCKJGC_01134,-
iucA,PCKCKJGC_01135,-
dat_1,PCKCKJGC_01136,-
group_1916,PCKCKJGC_01138,+
group_1917,PCKCKJGC_01140,-
dapF,PCKCKJGC_01142,-
miaA,PCKCKJGC_01144,-
group_1920,PCKCKJGC_01145,+
group_1921,PCKCKJGC_01146,-
group_1922,PCKCKJGC_01147,-
group_1923,PCKCKJGC_01149,+
sasA_2,PCKCKJGC_01150,-
glnH_2,PCKCKJGC_01153,+
group_1926,PCKCKJGC_01155,+
group_1927,PCKCKJGC_01157,+
recX,PCKCKJGC_01159,-
group_1929,PCKCKJGC_01161,-
group_193,PCKCKJGC_04660,+
hdfR_2,PCKCKJGC_01162,+
group_1931,PCKCKJGC_01163,+
dhmA,PCKCKJGC_01173,-
group_1933,PCKCKJGC_01174,+
nei,PCKCKJGC_01177,+
group_1935,PCKCKJGC_01178,-
cinA,PCKCKJGC_01181,-
group_1937,PCKCKJGC_01185,-
arnB,PCKCKJGC_01190,-
thyX,PCKCKJGC_01196,-
group_1940,PCKCKJGC_01197,+
ribF,PCKCKJGC_01212,-
rimP,PCKCKJGC_01220,-
group_1943,PCKCKJGC_01222,+
group_1944,PCKCKJGC_01223,+
group_1945,PCKCKJGC_01225,-
sgrR_1,PCKCKJGC_01230,-
group_1947,PCKCKJGC_01231,-
nanK_3,PCKCKJGC_01237,-
group_1949,PCKCKJGC_01239,-
group_195,PCKCKJGC_04693,+
group_1950,PCKCKJGC_01240,-
group_1951,PCKCKJGC_01242,+
group_1952,PCKCKJGC_01244,-
potA_1,PCKCKJGC_01248,-
group_1954,PCKCKJGC_01251,+
spuE,PCKCKJGC_01255,-
ytrE_2,PCKCKJGC_01262,+
group_1957,PCKCKJGC_01263,+
group_1958,PCKCKJGC_01264,+
group_1959,PCKCKJGC_01265,-
potA_2,PCKCKJGC_01266,-
thiB,PCKCKJGC_01268,-
group_1963,PCKCKJGC_01276,-
dprA,PCKCKJGC_01278,-
group_1965,PCKCKJGC_01283,-
group_1966,PCKCKJGC_01284,-
lepB,PCKCKJGC_01285,-
rimM,PCKCKJGC_01288,-
smc,PCKCKJGC_01303,-
TDO2_2,PCKCKJGC_05861,-
group_1970,PCKCKJGC_01306,+
group_1971,PCKCKJGC_01311,-
group_1972,PCKCKJGC_01321,+
group_1973,PCKCKJGC_01324,-
fbiD_1,PCKCKJGC_01325,+
group_1975,PCKCKJGC_01326,+
group_1976,PCKCKJGC_01332,-
group_1977,PCKCKJGC_01333,+
gph_2,PCKCKJGC_01339,-
gltX,PCKCKJGC_01340,-
group_1980,PCKCKJGC_01343,-
group_1981,PCKCKJGC_01344,+
group_1982,PCKCKJGC_01345,+
group_1983,PCKCKJGC_01350,+
group_1984,PCKCKJGC_01355,+
group_1985,PCKCKJGC_01356,+
group_1986,PCKCKJGC_01365,-
group_1987,PCKCKJGC_01368,+
cyc2,PCKCKJGC_01370,+
group_1989,PCKCKJGC_01371,-
ureA_1,PCKCKJGC_01376,-
group_1992,PCKCKJGC_01379,-
group_1993,PCKCKJGC_01380,+
group_1994,PCKCKJGC_01381,+
group_1995,PCKCKJGC_01382,+
group_1996,PCKCKJGC_01386,+
prmC_1,PCKCKJGC_01390,+
ilvC,PCKCKJGC_01392,-
group_1999,PCKCKJGC_01396,-
group_200,PCKCKJGC_03146,+
group_2000,PCKCKJGC_01400,-
group_2001,PCKCKJGC_01401,-
group_2002,PCKCKJGC_01402,+
ydfJ_1,PCKCKJGC_01404,-
yvdD,PCKCKJGC_01413,-
group_2005,PCKCKJGC_01414,+
group_2006,PCKCKJGC_01415,+
group_2007,PCKCKJGC_01419,-
group_2008,PCKCKJGC_01421,-
btuD_6,PCKCKJGC_01422,-
gsiD_4,PCKCKJGC_01424,-
dppA_3,PCKCKJGC_01426,-
group_2012,PCKCKJGC_01427,-
group_2013,PCKCKJGC_01429,-
gcvT_1,PCKCKJGC_01430,+
gcvH_1,PCKCKJGC_01431,+
group_2016,PCKCKJGC_01438,-
group_2017,PCKCKJGC_01440,+
kdpA,PCKCKJGC_01441,+
kdpB_3,PCKCKJGC_01442,+
kdpE_2,PCKCKJGC_01444,+
oxd,PCKCKJGC_01447,+
leuO,PCKCKJGC_01448,+
group_2023,PCKCKJGC_01449,+
group_2024,PCKCKJGC_01450,+
group_2025,PCKCKJGC_01452,-
group_2026,PCKCKJGC_01455,-
group_2027,PCKCKJGC_01456,-
echA8_2,PCKCKJGC_01457,-
ldtB_2,PCKCKJGC_01459,-
glgX_2,PCKCKJGC_01460,+
group_2031,PCKCKJGC_01461,-
lnrL_2,PCKCKJGC_01462,-
group_2033,PCKCKJGC_01463,+
group_2034,PCKCKJGC_01464,+
group_2036,PCKCKJGC_01465,+
pstI,PCKCKJGC_01467,+
glgB,PCKCKJGC_01473,+
group_2039,PCKCKJGC_01494,-
dltA_7,PCKCKJGC_05877,-
ackA,PCKCKJGC_01504,+
group_2041,PCKCKJGC_01506,-
group_2042,PCKCKJGC_01507,-
group_2043,PCKCKJGC_01510,+
group_2044,PCKCKJGC_01514,-
cenA,PCKCKJGC_01515,+
group_2046,PCKCKJGC_01516,-
group_2047,PCKCKJGC_01517,-
group_2048,PCKCKJGC_01519,-
group_2049,PCKCKJGC_01520,+
group_2050,PCKCKJGC_01522,+
group_2051,PCKCKJGC_01523,+
group_2052,PCKCKJGC_01524,+
group_2053,PCKCKJGC_01525,+
sasA_3,PCKCKJGC_01526,-
group_2055,PCKCKJGC_01530,+
bcrA_1,PCKCKJGC_01541,+
group_2057,PCKCKJGC_01542,+
bcrA_2,PCKCKJGC_01543,+
group_2059,PCKCKJGC_01544,+
group_2060,PCKCKJGC_01554,+
degU_1,PCKCKJGC_01555,+
chtA_1,PCKCKJGC_01556,+
atpE,PCKCKJGC_01565,-
tagU_1,PCKCKJGC_01574,-
hom,PCKCKJGC_01578,-
group_2066,PCKCKJGC_01580,-
mprA_1,PCKCKJGC_01581,-
group_2069,PCKCKJGC_01584,+
cpdA_1,PCKCKJGC_00205,+
group_2070,PCKCKJGC_01589,-
group_2071,PCKCKJGC_01591,+
group_2072,PCKCKJGC_01592,+
ku,PCKCKJGC_01594,-
ligD_1,PCKCKJGC_01595,+
rodA_1,PCKCKJGC_01597,+
pbpA_1,PCKCKJGC_01598,+
group_2077,PCKCKJGC_01600,-
group_2078,PCKCKJGC_01602,+
group_2079,PCKCKJGC_01604,-
group_2080,PCKCKJGC_01609,-
group_2081,PCKCKJGC_01610,+
acm_2,PCKCKJGC_01612,+
group_2083,PCKCKJGC_01613,+
qacA_2,PCKCKJGC_01615,+
group_2085,PCKCKJGC_01616,+
sigE_1,PCKCKJGC_01618,+
yxlF_1,PCKCKJGC_01620,+
group_2088,PCKCKJGC_01623,+
baeS,PCKCKJGC_01625,+
group_209,PCKCKJGC_00225,-
chuR,PCKCKJGC_01629,-
group_2091,PCKCKJGC_01636,-
group_2092,PCKCKJGC_01637,+
group_2093,PCKCKJGC_01647,-
ytrA_2,PCKCKJGC_01651,-
group_2095,PCKCKJGC_01652,-
group_2096,PCKCKJGC_01653,+
group_2097,PCKCKJGC_01654,-
dcyD,PCKCKJGC_01662,+
group_2099,PCKCKJGC_01664,+
group_21,PCKCKJGC_01921,+
dasB_1,PCKCKJGC_01674,-
cstA,PCKCKJGC_01677,+
group_2102,PCKCKJGC_01678,+
cyc1,PCKCKJGC_01682,-
group_2104,PCKCKJGC_01689,+
group_2105,PCKCKJGC_01693,-
furA,PCKCKJGC_01696,+
group_2107,PCKCKJGC_01703,-
group_2108,PCKCKJGC_01705,-
group_2109,PCKCKJGC_01711,-
group_211,PCKCKJGC_00240,+
uvrD2,PCKCKJGC_01717,-
caeA_1,PCKCKJGC_01726,+
group_2112,PCKCKJGC_01729,-
group_2113,PCKCKJGC_01742,-
group_2114,PCKCKJGC_01743,+
yciV,PCKCKJGC_01745,-
yfmO,PCKCKJGC_01746,+
group_2117,PCKCKJGC_01750,+
group_2118,PCKCKJGC_01751,-
group_2119,PCKCKJGC_01761,-
pgl_1,PCKCKJGC_00281,-
sigE_2,PCKCKJGC_01762,-
trmR,PCKCKJGC_01763,+
tag,PCKCKJGC_01767,-
group_2123,PCKCKJGC_01768,-
nat_1,PCKCKJGC_01770,+
group_2125,PCKCKJGC_01771,-
group_2126,PCKCKJGC_01772,+
group_2127,PCKCKJGC_01775,+
group_2128,PCKCKJGC_01777,+
group_2129,PCKCKJGC_01780,+
mro,PCKCKJGC_01782,-
yjfF,PCKCKJGC_01784,-
rbsC_4,PCKCKJGC_01785,-
araG_2,PCKCKJGC_01786,-
purR_2,PCKCKJGC_01787,-
group_2135,PCKCKJGC_01789,-
group_2136,PCKCKJGC_01791,-
mshB_1,PCKCKJGC_01792,-
dap4,PCKCKJGC_01794,+
group_2139,PCKCKJGC_01795,-
group_214,PCKCKJGC_00288,-
oppC,PCKCKJGC_01803,-
dppB_4,PCKCKJGC_01804,-
group_2142,PCKCKJGC_01808,-
group_2143,PCKCKJGC_01809,+
group_2144,PCKCKJGC_01810,-
group_2145,PCKCKJGC_01811,-
group_2146,PCKCKJGC_01813,-
group_2147,PCKCKJGC_01816,-
group_2148,PCKCKJGC_01817,+
group_2150,PCKCKJGC_01818,+
group_2151,PCKCKJGC_01820,+
group_2152,PCKCKJGC_01823,-
group_2153,PCKCKJGC_01824,+
group_2154,PCKCKJGC_01825,-
aam_1,PCKCKJGC_01831,+
fliY,PCKCKJGC_01833,+
glnQ_3,PCKCKJGC_01836,+
group_2158,PCKCKJGC_01837,+
cdhR_1,PCKCKJGC_01838,-
group_2160,PCKCKJGC_01839,+
group_2161,PCKCKJGC_01840,-
group_2162,PCKCKJGC_01843,-
group_2163,PCKCKJGC_01847,+
group_2164,PCKCKJGC_01849,-
group_2165,PCKCKJGC_01854,-
yidC_1,PCKCKJGC_01855,-
moaE1,PCKCKJGC_01704,-
group_2172,PCKCKJGC_01869,-
group_2173,PCKCKJGC_01871,-
group_2174,PCKCKJGC_01872,-
mtgA_1,PCKCKJGC_01873,+
group_2176,PCKCKJGC_01876,-
bcp,PCKCKJGC_01877,+
group_2178,PCKCKJGC_01881,-
cysM,PCKCKJGC_01887,-
cysO_1,PCKCKJGC_01888,-
group_2181,PCKCKJGC_01891,-
pncA,PCKCKJGC_01895,+
group_2184,PCKCKJGC_01899,-
hpd,PCKCKJGC_01904,-
opuCA_1,PCKCKJGC_01907,+
group_2187,PCKCKJGC_01908,+
osmX_1,PCKCKJGC_01909,+
group_2189,PCKCKJGC_01910,+
fdhD_2,PCKCKJGC_00546,+
tap_3,PCKCKJGC_01912,+
group_2192,PCKCKJGC_01914,-
group_2195,PCKCKJGC_01924,+
group_2196,PCKCKJGC_01927,-
dasB_2,PCKCKJGC_01934,-
group_2198,PCKCKJGC_01936,-
group_2199,PCKCKJGC_01937,-
group_22,PCKCKJGC_03324,-
zwf1,PCKCKJGC_00298,+
group_2200,PCKCKJGC_01943,+
group_2201,PCKCKJGC_01944,-
group_2203,PCKCKJGC_01947,-
group_2204,PCKCKJGC_01949,-
ctpA_1,PCKCKJGC_01954,-
prfB,PCKCKJGC_01959,-
group_2207,PCKCKJGC_01962,+
group_2208,PCKCKJGC_01964,+
tagF,PCKCKJGC_01966,+
gtfA,PCKCKJGC_01967,-
group_2211,PCKCKJGC_01968,-
group_2212,PCKCKJGC_01971,-
gph_3,PCKCKJGC_01975,-
group_2214,PCKCKJGC_01976,-
group_2215,PCKCKJGC_01977,+
hcaR_2,PCKCKJGC_01978,-
group_2217,PCKCKJGC_04599,+
group_2218,PCKCKJGC_01982,+
hpf,PCKCKJGC_01984,-
group_222,PCKCKJGC_00300,-
group_2220,PCKCKJGC_01985,-
sasA_4,PCKCKJGC_01987,-
group_2222,PCKCKJGC_01990,+
group_2223,PCKCKJGC_01994,+
manA,PCKCKJGC_02009,-
group_2225,PCKCKJGC_02012,+
group_2226,PCKCKJGC_02019,-
group_2227,PCKCKJGC_02024,-
group_2228,PCKCKJGC_02027,+
tagU_2,PCKCKJGC_02028,+
group_2230,PCKCKJGC_02029,+
lcpB_1,PCKCKJGC_02033,+
group_2236,PCKCKJGC_02038,-
group_2239,PCKCKJGC_02045,-
group_2240,PCKCKJGC_02051,-
group_2241,PCKCKJGC_02052,-
group_2242,PCKCKJGC_02053,+
group_2243,PCKCKJGC_02054,-
group_2244,PCKCKJGC_02055,+
purE,PCKCKJGC_02057,-
group_2246,PCKCKJGC_02059,+
group_2247,PCKCKJGC_02064,-
hutI_1,PCKCKJGC_02067,-
lysA_2,PCKCKJGC_02070,+
group_225,PCKCKJGC_00326,+
yhdG_3,PCKCKJGC_02071,+
group_2251,PCKCKJGC_02072,-
group_2252,PCKCKJGC_02075,-
purR_3,PCKCKJGC_02076,+
group_2254,PCKCKJGC_02077,+
group_2255,PCKCKJGC_02078,+
group_2256,PCKCKJGC_02079,+
group_2257,PCKCKJGC_02080,+
group_2258,PCKCKJGC_02082,-
group_2259,PCKCKJGC_02087,+
group_2260,PCKCKJGC_02091,-
group_2261,PCKCKJGC_02093,-
group_2262,PCKCKJGC_02094,-
lnrL_3,PCKCKJGC_02095,-
group_2264,PCKCKJGC_02096,+
group_2265,PCKCKJGC_02099,+
group_2266,PCKCKJGC_02101,-
ppx2,PCKCKJGC_02105,-
group_2268,PCKCKJGC_02106,-
group_2269,PCKCKJGC_02109,-
group_2271,PCKCKJGC_02111,-
group_2272,PCKCKJGC_02112,-
group_2273,PCKCKJGC_02113,-
group_2274,PCKCKJGC_02127,+
group_2275,PCKCKJGC_02129,+
betI_6,PCKCKJGC_02131,+
group_2278,PCKCKJGC_02133,-
group_2279,PCKCKJGC_02140,-
group_228,PCKCKJGC_00354,-
afsR_1,PCKCKJGC_02145,-
group_2281,PCKCKJGC_02146,-
ydaF,PCKCKJGC_02149,+
group_2283,PCKCKJGC_02150,-
group_2284,PCKCKJGC_02152,-
group_2285,PCKCKJGC_02155,-
novJ_1,PCKCKJGC_02157,-
group_2287,PCKCKJGC_02158,+
group_2288,PCKCKJGC_02159,+
group_2289,PCKCKJGC_02162,+
catI,PCKCKJGC_00368,+
group_2290,PCKCKJGC_02163,+
lnrJ,PCKCKJGC_02164,-
rplY,PCKCKJGC_02171,+
group_2295,PCKCKJGC_02173,+
tam_5,PCKCKJGC_02178,-
galE_2,PCKCKJGC_02182,-
galT,PCKCKJGC_02183,-
group_2299,PCKCKJGC_02185,+
group_23,PCKCKJGC_02674,+
group_2300,PCKCKJGC_02187,-
group_2301,PCKCKJGC_02188,-
ispE,PCKCKJGC_02191,-
ksgA,PCKCKJGC_02192,-
tatD,PCKCKJGC_02193,-
nagJ,PCKCKJGC_02194,-
rsmI,PCKCKJGC_02196,-
mrdA_1,PCKCKJGC_02200,+
group_2308,PCKCKJGC_02202,-
group_2309,PCKCKJGC_02205,+
group_2310,PCKCKJGC_02208,+
ydfJ_2,PCKCKJGC_02209,-
tri1_1,PCKCKJGC_02211,+
group_2313,PCKCKJGC_02212,+
catD_2,PCKCKJGC_02214,-
group_2315,PCKCKJGC_02216,+
exoA,PCKCKJGC_02217,-
group_2317,PCKCKJGC_02218,+
group_2319,PCKCKJGC_02220,-
group_2320,PCKCKJGC_02222,+
liaR_2,PCKCKJGC_02223,+
group_2322,PCKCKJGC_02225,-
rimJ_2,PCKCKJGC_02228,-
group_2325,PCKCKJGC_02233,+
nhaP,PCKCKJGC_02235,+
group_2327,PCKCKJGC_02236,+
group_2329,PCKCKJGC_02244,+
group_233,PCKCKJGC_00389,-
efpA_2,PCKCKJGC_02249,-
group_2332,PCKCKJGC_02250,-
group_2333,PCKCKJGC_02252,+
group_2334,PCKCKJGC_02256,+
group_2335,PCKCKJGC_02257,+
paaK,PCKCKJGC_02258,-
group_2337,PCKCKJGC_02259,-
astD,PCKCKJGC_02260,+
crt,PCKCKJGC_02262,+
group_234,PCKCKJGC_00440,+
paaA_1,PCKCKJGC_02264,+
paaC_1,PCKCKJGC_02266,+
group_2342,PCKCKJGC_02271,-
group_2350,PCKCKJGC_02293,+
group_2351,PCKCKJGC_02294,-
map-1_1,PCKCKJGC_02295,+
group_2353,PCKCKJGC_02299,+
group_2354,PCKCKJGC_02300,+
group_2355,PCKCKJGC_02303,+
group_2357,PCKCKJGC_02305,+
group_2358,PCKCKJGC_02306,-
group_2359,PCKCKJGC_02309,-
group_2360,PCKCKJGC_02315,-
acyII,PCKCKJGC_02316,-
irtA,PCKCKJGC_02317,+
mfpA,PCKCKJGC_02332,-
group_2364,PCKCKJGC_02333,-
afsR_2,PCKCKJGC_02334,+
group_2366,PCKCKJGC_02335,+
group_2367,PCKCKJGC_02337,+
group_2368,PCKCKJGC_02338,-
group_2369,PCKCKJGC_02343,-
group_2370,PCKCKJGC_02346,-
cdhR_3,PCKCKJGC_02347,+
group_2372,PCKCKJGC_02348,-
group_2373,PCKCKJGC_02352,+
purU,PCKCKJGC_02353,-
group_2375,PCKCKJGC_02354,-
group_2376,PCKCKJGC_02355,+
group_2377,PCKCKJGC_02356,-
group_2378,PCKCKJGC_02358,+
group_2379,PCKCKJGC_02359,+
group_238,PCKCKJGC_00452,+
btuD_11,PCKCKJGC_02360,+
group_2381,PCKCKJGC_02361,+
group_2382,PCKCKJGC_02362,-
slmA,PCKCKJGC_02363,+
group_2384,PCKCKJGC_02364,-
group_2385,PCKCKJGC_02366,+
pdxH_2,PCKCKJGC_02368,-
citA,PCKCKJGC_02369,+
tap_5,PCKCKJGC_02370,-
cymR,PCKCKJGC_02371,-
ligC,PCKCKJGC_00478,+
rhtA_2,PCKCKJGC_02384,-
hcaR_3,PCKCKJGC_02385,+
group_2392,PCKCKJGC_02389,+
pksS,PCKCKJGC_02391,+
ncsB3_3,PCKCKJGC_02392,+
thadh,PCKCKJGC_02394,-
group_2396,PCKCKJGC_02395,-
drrA_1,PCKCKJGC_02396,-
group_2398,PCKCKJGC_02397,+
group_2399,PCKCKJGC_02398,-
group_2400,PCKCKJGC_02401,+
group_2401,PCKCKJGC_02402,+
group_2402,PCKCKJGC_02403,+
group_2403,PCKCKJGC_02404,+
group_2404,PCKCKJGC_02405,-
group_2405,PCKCKJGC_02407,+
group_2406,PCKCKJGC_02408,-
group_2407,PCKCKJGC_02409,+
group_2408,PCKCKJGC_02410,-
group_2409,PCKCKJGC_02411,-
group_241,PCKCKJGC_00489,+
group_2410,PCKCKJGC_02413,-
thpR,PCKCKJGC_02414,-
group_2412,PCKCKJGC_02417,+
group_2413,PCKCKJGC_02421,-
group_2414,PCKCKJGC_02423,-
group_2415,PCKCKJGC_02424,-
group_2416,PCKCKJGC_02425,+
mqnB,PCKCKJGC_02427,+
yfiY,PCKCKJGC_02436,-
fepC_4,PCKCKJGC_02437,-
yfhA_3,PCKCKJGC_02438,-
yfiZ_2,PCKCKJGC_02439,-
gph_5,PCKCKJGC_02440,+
group_2423,PCKCKJGC_02442,+
pikC_2,PCKCKJGC_02444,-
group_2425,PCKCKJGC_02449,-
group_2428,PCKCKJGC_02456,+
rutC,PCKCKJGC_00499,-
group_2430,PCKCKJGC_02462,-
cutC,PCKCKJGC_02472,-
group_2434,PCKCKJGC_02473,+
group_2436,PCKCKJGC_02485,-
gpmA_2,PCKCKJGC_02487,-
group_2438,PCKCKJGC_02495,-
otsA,PCKCKJGC_02503,+
group_244,PCKCKJGC_00525,-
group_2440,PCKCKJGC_02505,-
group_2442,PCKCKJGC_02519,-
group_2443,PCKCKJGC_02523,+
gbpA_2,PCKCKJGC_02524,+
lacC_2,PCKCKJGC_02525,+
group_2446,PCKCKJGC_02535,+
fdhA_2,PCKCKJGC_02536,+
group_2448,PCKCKJGC_02537,+
group_2449,PCKCKJGC_02538,-
group_2450,PCKCKJGC_02539,+
group_2454,PCKCKJGC_02545,+
group_2455,PCKCKJGC_02546,+
group_2456,PCKCKJGC_02547,-
group_2458,PCKCKJGC_02548,-
group_246,PCKCKJGC_00529,-
group_2460,PCKCKJGC_02558,+
wbiB,PCKCKJGC_02562,-
group_2462,PCKCKJGC_02564,+
group_2463,PCKCKJGC_02565,+
group_2464,PCKCKJGC_02566,+
group_2465,PCKCKJGC_02570,+
group_2466,PCKCKJGC_02572,+
group_2468,PCKCKJGC_02576,-
group_2469,PCKCKJGC_02584,-
group_2470,PCKCKJGC_02586,-
eryA,PCKCKJGC_02588,-
group_2472,PCKCKJGC_02593,+
fprB,PCKCKJGC_02595,+
thiI,PCKCKJGC_02596,+
group_2475,PCKCKJGC_02603,-
group_2476,PCKCKJGC_02604,-
group_2477,PCKCKJGC_02605,-
group_2478,PCKCKJGC_02606,-
group_2479,PCKCKJGC_02607,-
bltD,PCKCKJGC_02608,+
group_2481,PCKCKJGC_02610,+
rfbF,PCKCKJGC_02618,+
group_2493,PCKCKJGC_02619,+
cysS,PCKCKJGC_02623,-
dppE_1,PCKCKJGC_02627,-
group_2497,PCKCKJGC_02628,-
ispF,PCKCKJGC_02630,-
sasA_6,PCKCKJGC_02635,-
alsT,PCKCKJGC_00549,-
group_2500,PCKCKJGC_02640,-
group_2501,PCKCKJGC_03374,-
group_2502,PCKCKJGC_03370,-
group_2503,PCKCKJGC_03369,+
group_2504,PCKCKJGC_03367,+
group_2505,PCKCKJGC_03366,+
ufaA1,PCKCKJGC_03365,+
group_2507,PCKCKJGC_03363,+
yfcD_1,PCKCKJGC_03362,+
group_2509,PCKCKJGC_03361,-
fecE_2,PCKCKJGC_03358,+
btuF_2,PCKCKJGC_03356,+
iclR_2,PCKCKJGC_03352,-
group_2513,PCKCKJGC_03350,+
group_2514,PCKCKJGC_03349,+
group_2515,PCKCKJGC_03348,-
ndh,PCKCKJGC_03337,+
group_2518,PCKCKJGC_03333,-
group_2519,PCKCKJGC_03332,-
group_252,PCKCKJGC_00580,+
group_2520,PCKCKJGC_03331,+
group_2522,PCKCKJGC_03328,-
cobB_2,PCKCKJGC_03327,+
group_2524,PCKCKJGC_03326,-
ppiA,PCKCKJGC_03325,-
lcfB_1,PCKCKJGC_03320,-
group_253,PCKCKJGC_00634,-
accD3,PCKCKJGC_03319,-
group_2531,PCKCKJGC_03318,+
group_2532,PCKCKJGC_03317,-
group_2533,PCKCKJGC_03316,+
group_2534,PCKCKJGC_03315,-
hpr,PCKCKJGC_03313,-
group_2536,PCKCKJGC_03310,-
group_2537,PCKCKJGC_03309,+
group_2539,PCKCKJGC_05222,+
ggt,PCKCKJGC_00642,-
group_2540,PCKCKJGC_05215,-
group_2541,PCKCKJGC_05213,-
caeA_2,PCKCKJGC_03307,+
tmk,PCKCKJGC_03305,+
group_2550,PCKCKJGC_03303,+
prmC_3,PCKCKJGC_03302,+
group_2552,PCKCKJGC_03293,+
group_2553,PCKCKJGC_03291,+
group_2554,PCKCKJGC_03290,-
group_2555,PCKCKJGC_03289,+
group_2556,PCKCKJGC_03286,-
acsA_2,PCKCKJGC_03285,-
nhaA,PCKCKJGC_03284,-
group_2559,PCKCKJGC_03283,-
group_256,PCKCKJGC_00667,+
group_2560,PCKCKJGC_03275,+
group_2561,PCKCKJGC_03267,-
group_2563,PCKCKJGC_03261,-
group_2564,PCKCKJGC_03258,+
group_2565,PCKCKJGC_03257,+
ephB,PCKCKJGC_03256,+
pknD_3,PCKCKJGC_03255,-
group_2568,PCKCKJGC_03253,-
group_2569,PCKCKJGC_03252,+
group_257,PCKCKJGC_00668,-
group_2570,PCKCKJGC_03248,+
group_2571,PCKCKJGC_03241,+
group_2572,PCKCKJGC_03236,+
group_2573,PCKCKJGC_03235,+
group_2574,PCKCKJGC_03233,-
group_2575,PCKCKJGC_03230,+
group_2576,PCKCKJGC_03229,+
liaR_6,PCKCKJGC_03227,-
group_2578,PCKCKJGC_03222,-
nreC_4,PCKCKJGC_00670,+
group_2581,PCKCKJGC_03201,+
group_2582,PCKCKJGC_03198,+
group_2583,PCKCKJGC_03197,-
group_2584,PCKCKJGC_03196,-
group_2585,PCKCKJGC_03194,-
lhgD,PCKCKJGC_03193,-
group_2587,PCKCKJGC_03191,-
group_2588,PCKCKJGC_03189,+
group_2589,PCKCKJGC_03188,+
group_2590,PCKCKJGC_03186,+
clpC,PCKCKJGC_03184,-
group_2592,PCKCKJGC_03183,-
deaD_3,PCKCKJGC_03178,+
purF,PCKCKJGC_03162,+
group_2596,PCKCKJGC_03161,+
lsr2_1,PCKCKJGC_03157,-
btuD_13,PCKCKJGC_03155,-
group_2599,PCKCKJGC_03154,-
group_26,PCKCKJGC_02550,-
group_260,PCKCKJGC_00690,-
desR_1,PCKCKJGC_03152,-
purC,PCKCKJGC_03150,+
group_2602,PCKCKJGC_03121,+
group_2603,PCKCKJGC_03119,+
group_2604,PCKCKJGC_03118,+
fabG_2,PCKCKJGC_03116,-
group_2606,PCKCKJGC_03115,-
group_2607,PCKCKJGC_03110,-
group_2608,PCKCKJGC_03109,-
tadA_2,PCKCKJGC_03108,-
ccpA_3,PCKCKJGC_00724,+
group_2610,PCKCKJGC_03097,+
qacA_3,PCKCKJGC_03096,+
group_2612,PCKCKJGC_03095,-
sti,PCKCKJGC_03088,-
group_2615,PCKCKJGC_03084,+
group_2616,PCKCKJGC_03083,+
group_2617,PCKCKJGC_03078,-
group_2618,PCKCKJGC_03077,+
group_2619,PCKCKJGC_03076,-
group_2620,PCKCKJGC_03074,+
group_2621,PCKCKJGC_03070,-
group_2622,PCKCKJGC_03069,-
serS,PCKCKJGC_03066,-
btuD_14,PCKCKJGC_03061,+
ephD,PCKCKJGC_03060,-
group_2626,PCKCKJGC_03059,-
fgd_4,PCKCKJGC_03058,+
group_2628,PCKCKJGC_03056,+
dosT,PCKCKJGC_03055,+
group_263,PCKCKJGC_00731,-
btuD_15,PCKCKJGC_03054,+
pat,PCKCKJGC_03051,+
ssgB_3,PCKCKJGC_03045,+
group_2633,PCKCKJGC_03044,+
mccB,PCKCKJGC_03040,-
group_2635,PCKCKJGC_03038,-
dap_2,PCKCKJGC_03034,+
group_264,PCKCKJGC_00755,-
group_2643,PCKCKJGC_03021,+
mtgA_3,PCKCKJGC_03020,+
group_2645,PCKCKJGC_03017,-
group_2646,PCKCKJGC_03016,-
trxA,PCKCKJGC_03008,-
parB,PCKCKJGC_03006,+
rsmG,PCKCKJGC_03004,+
group_265,PCKCKJGC_00775,-
group_2650,PCKCKJGC_02996,-
group_2651,PCKCKJGC_02993,-
group_2652,PCKCKJGC_02988,-
group_2653,PCKCKJGC_02987,-
betI_7,PCKCKJGC_02981,+
cypB,PCKCKJGC_02978,-
trpG,PCKCKJGC_02973,-
pbpA_2,PCKCKJGC_02969,+
azoR,PCKCKJGC_02963,+
group_2659,PCKCKJGC_02962,-
group_2660,PCKCKJGC_02961,-
group_2661,PCKCKJGC_02958,-
group_2662,PCKCKJGC_02957,-
group_2663,PCKCKJGC_02955,-
pdhC,PCKCKJGC_02951,-
group_2665,PCKCKJGC_02949,-
qorA_1,PCKCKJGC_02947,-
group_2667,PCKCKJGC_02946,-
bpa,PCKCKJGC_02944,-
devR_2,PCKCKJGC_02941,+
group_2670,PCKCKJGC_02940,-
group_2671,PCKCKJGC_02932,-
group_2672,PCKCKJGC_02931,+
group_2673,PCKCKJGC_02927,+
group_2674,PCKCKJGC_02923,-
group_2675,PCKCKJGC_02918,-
group_2676,PCKCKJGC_02917,+
group_2677,PCKCKJGC_02915,+
modA,PCKCKJGC_02909,-
tagU_6,PCKCKJGC_02906,-
group_268,PCKCKJGC_00790,+
group_2680,PCKCKJGC_02905,+
adh,PCKCKJGC_02901,+
group_2682,PCKCKJGC_02900,+
group_2683,PCKCKJGC_02898,-
group_2684,PCKCKJGC_02897,-
